Sample	Cq	SQ	sample_rep	tech_rep	dyp	stasjon	innsjo	fylke	volum	SQ_vol	lat	lon	provetatt	dist_hav
584	NA	NA	3	1	0	6	GJE	Finnmark	200	NA	69.58291	30.94154	2021-08-18	32
584	NA	NA	3	2	0	6	GJE	Finnmark	200	NA	69.58291	30.94154	2021-08-18	32
584	NA	NA	3	3	0	6	GJE	Finnmark	200	NA	69.58291	30.94154	2021-08-18	32
584	37.7407625345281	2.68505315586057e-5	3	4	0	6	GJE	Finnmark	200	1.342526577930285e-7	69.58291	30.94154	2021-08-18	32
584	NA	NA	3	5	0	6	GJE	Finnmark	200	NA	69.58291	30.94154	2021-08-18	32
584	NA	NA	3	6	0	6	GJE	Finnmark	200	NA	69.58291	30.94154	2021-08-18	32
583	36.7330084145185	5.41726500861197e-5	2	1	0	6	GJE	Finnmark	240	2.2571937535883208e-7	69.58291	30.94154	2021-08-18	32
583	38.5741051206617	1.50273358925228e-5	2	2	0	6	GJE	Finnmark	240	6.261389955217833e-8	69.58291	30.94154	2021-08-18	32
583	NA	NA	2	3	0	6	GJE	Finnmark	240	NA	69.58291	30.94154	2021-08-18	32
583	35.2631778123931	1.5079153475942e-4	2	4	0	6	GJE	Finnmark	240	6.282980614975833e-7	69.58291	30.94154	2021-08-18	32
583	36.3639774372761	7.00495265033997e-5	2	5	0	6	GJE	Finnmark	240	2.9187302709749873e-7	69.58291	30.94154	2021-08-18	32
583	35.1514966875778	1.6298906168482e-4	2	6	0	6	GJE	Finnmark	240	6.791210903534167e-7	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	1	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	2	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	3	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	4	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	5	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
582	NA	NA	1	6	0	6	GJE	Finnmark	400	NA	69.58291	30.94154	2021-08-18	32
581	33.9774073211808	3.6923173724227e-4	3	1	0	5	GJE	Finnmark	120	3.076931143685583e-6	69.61512	30.9522	2021-08-18	28.1
581	34.0253868018836	3.5709692305741e-4	3	2	0	5	GJE	Finnmark	120	2.9758076921450835e-6	69.61512	30.9522	2021-08-18	28.1
581	34.7314383456031	2.1838279842688e-4	3	3	0	5	GJE	Finnmark	120	1.8198566535573332e-6	69.61512	30.9522	2021-08-18	28.1
581	33.3896327217749	5.560195885226e-4	3	4	0	5	GJE	Finnmark	120	4.633496571021666e-6	69.61512	30.9522	2021-08-18	28.1
581	33.5668052737288	4.914718352565e-4	3	5	0	5	GJE	Finnmark	120	4.0955986271375e-6	69.61512	30.9522	2021-08-18	28.1
581	33.1111540959205	6.7503265745974e-4	3	6	0	5	GJE	Finnmark	120	5.625272145497833e-6	69.61512	30.9522	2021-08-18	28.1
580	33.1908260504557	6.385949425138e-4	2	1	0	5	GJE	Finnmark	140	4.5613924465271425e-6	69.61512	30.9522	2021-08-18	28.1
580	33.1639759628368	6.5064955224974e-4	2	2	0	5	GJE	Finnmark	140	4.647496801783857e-6	69.61512	30.9522	2021-08-18	28.1
580	33.4318179426095	5.399205208644e-4	2	3	0	5	GJE	Finnmark	140	3.856575149031429e-6	69.61512	30.9522	2021-08-18	28.1
580	33.2028777911041	6.332570647362e-4	2	4	0	5	GJE	Finnmark	140	4.523264748115715e-6	69.61512	30.9522	2021-08-18	28.1
580	33.2541248592755	6.1105280569648e-4	2	5	0	5	GJE	Finnmark	140	4.364662897832e-6	69.61512	30.9522	2021-08-18	28.1
580	33.1025950023384	6.7906876287663e-4	2	6	0	5	GJE	Finnmark	140	4.8504911634045e-6	69.61512	30.9522	2021-08-18	28.1
579	32.1966716523398	0.00127625953924367	1	1	0	5	GJE	Finnmark	260	4.9086905355525765e-6	69.61512	30.9522	2021-08-18	28.1
579	32.6321359610853	9.4236470239743e-4	1	2	0	5	GJE	Finnmark	260	3.6244796246055e-6	69.61512	30.9522	2021-08-18	28.1
579	32.3761580427671	0.00112628331426551	1	3	0	5	GJE	Finnmark	260	4.331858901021192e-6	69.61512	30.9522	2021-08-18	28.1
579	32.6281104146385	9.4501056712104e-4	1	4	0	5	GJE	Finnmark	260	3.6346560273886157e-6	69.61512	30.9522	2021-08-18	28.1
579	33.1746349064255	6.4583711540974e-4	1	5	0	5	GJE	Finnmark	260	2.483988905422077e-6	69.61512	30.9522	2021-08-18	28.1
579	33.0951464118784	6.8260083596909e-4	1	6	0	5	GJE	Finnmark	260	2.625387830650346e-6	69.61512	30.9522	2021-08-18	28.1
578	25.1105225219816	0.177569976309339	3	1	0	4	GJE	Finnmark	90	0.0019729997367704333	69.72446	30.88735	2021-08-18	10
578	24.8232011410183	0.216909713423935	3	2	0	4	GJE	Finnmark	90	0.0024101079269326113	69.72446	30.88735	2021-08-18	10
578	24.6707197001382	0.241213632114945	3	3	0	4	GJE	Finnmark	90	0.0026801514679438334	69.72446	30.88735	2021-08-18	10
578	24.6273689888587	0.248607740037922	3	4	0	4	GJE	Finnmark	90	0.002762308222643578	69.72446	30.88735	2021-08-18	10
578	24.5063224747779	0.270476166642379	3	5	0	4	GJE	Finnmark	90	0.0030052907404708776	69.72446	30.88735	2021-08-18	10
578	24.5939003490462	0.254471000417735	3	6	0	4	GJE	Finnmark	90	0.002827455560197056	69.72446	30.88735	2021-08-18	10
577	24.4058245061857	0.290086688608924	2	1	0	4	GJE	Finnmark	110	0.0026371517146265818	69.72446	30.88735	2021-08-18	10
577	24.2145740818239	0.331419117622975	2	2	0	4	GJE	Finnmark	110	0.0030129010692997726	69.72446	30.88735	2021-08-18	10
577	24.3471463935181	0.30218775108647	2	3	0	4	GJE	Finnmark	110	0.0027471613735133636	69.72446	30.88735	2021-08-18	10
577	24.5631741285127	0.259975496944322	2	4	0	4	GJE	Finnmark	110	0.0023634136085847455	69.72446	30.88735	2021-08-18	10
577	24.526461358646	0.266708808115366	2	5	0	4	GJE	Finnmark	110	0.002424625528321509	69.72446	30.88735	2021-08-18	10
577	24.5006662572106	0.271543808654786	2	6	0	4	GJE	Finnmark	110	0.0024685800786798727	69.72446	30.88735	2021-08-18	10
576	22.2169535635228	1.33235892442861	1	1	0	4	GJE	Finnmark	520	0.00256222870082425	69.72446	30.88735	2021-08-18	10
576	22.2624934388774	1.29076225087361	1	2	0	4	GJE	Finnmark	520	0.0024822350978338653	69.72446	30.88735	2021-08-18	10
576	21.9076835170796	1.65260768901842	1	3	0	4	GJE	Finnmark	520	0.003178091709650808	69.72446	30.88735	2021-08-18	10
576	22.2783105048333	1.27662070114761	1	4	0	4	GJE	Finnmark	520	0.00245503980989925	69.72446	30.88735	2021-08-18	10
576	21.8789607144516	1.686001247469	1	5	0	4	GJE	Finnmark	520	0.0032423100912865386	69.72446	30.88735	2021-08-18	10
576	22.316902334493	1.24276370080452	1	6	0	4	GJE	Finnmark	520	0.0023899301938548464	69.72446	30.88735	2021-08-18	10
575	24.5737920082279	0.204555890784015	3	1	0	3	GJE	Finnmark	350	5.844454022400429e-4	69.70322	30.89109	2021-08-18	13.8
575	24.5381338508171	0.209215594954637	3	2	0	3	GJE	Finnmark	350	5.977588427275343e-4	69.70322	30.89109	2021-08-18	13.8
575	24.9969502030349	0.156576820610783	3	3	0	3	GJE	Finnmark	350	4.473623446022372e-4	69.70322	30.89109	2021-08-18	13.8
575	24.4010268204568	0.228142645948406	3	4	0	3	GJE	Finnmark	350	6.5183613128116e-4	69.70322	30.89109	2021-08-18	13.8
575	24.4195057038179	0.225495138058597	3	5	0	3	GJE	Finnmark	350	6.442718230245629e-4	69.70322	30.89109	2021-08-18	13.8
575	24.6020549909748	0.200936409624928	3	6	0	3	GJE	Finnmark	350	5.741040274997943e-4	69.70322	30.89109	2021-08-18	13.8
574	24.1772567779486	0.262780456592263	2	1	0	3	GJE	Finnmark	480	5.474592845672147e-4	69.70322	30.89109	2021-08-18	13.8
574	24.4464884731705	0.221684347077876	2	2	0	3	GJE	Finnmark	480	4.6184238974557497e-4	69.70322	30.89109	2021-08-18	13.8
574	24.5053770473418	0.21358964381656	2	3	0	3	GJE	Finnmark	480	4.4497842461783336e-4	69.70322	30.89109	2021-08-18	13.8
574	24.006875033964	0.292640007122545	2	4	0	3	GJE	Finnmark	480	6.096666815053021e-4	69.70322	30.89109	2021-08-18	13.8
574	23.9565166052218	0.302098431826741	2	5	0	3	GJE	Finnmark	480	6.293717329723771e-4	69.70322	30.89109	2021-08-18	13.8
574	24.2148532144508	0.256613366365632	2	6	0	3	GJE	Finnmark	480	5.346111799283999e-4	69.70322	30.89109	2021-08-18	13.8
573	23.7348335669626	0.347506181359985	1	1	0	3	GJE	Finnmark	500	6.9501236271997e-4	69.70322	30.89109	2021-08-18	13.8
573	23.4074917592873	0.427328492726609	1	2	0	3	GJE	Finnmark	500	8.54656985453218e-4	69.70322	30.89109	2021-08-18	13.8
573	23.579086670621	0.383432047186311	1	3	0	3	GJE	Finnmark	500	7.66864094372622e-4	69.70322	30.89109	2021-08-18	13.8
573	23.7200467609696	0.350767205072899	1	4	0	3	GJE	Finnmark	500	7.015344101457979e-4	69.70322	30.89109	2021-08-18	13.8
573	23.7276738635802	0.349081350651552	1	5	0	3	GJE	Finnmark	500	6.98162701303104e-4	69.70322	30.89109	2021-08-18	13.8
573	24.1332223853878	0.27019230060912103	1	6	0	3	GJE	Finnmark	500	5.403846012182421e-4	69.70322	30.89109	2021-08-18	13.8
572	25.8110912999835	0.0936235364070343	3	1	0	2	GJE	Finnmark	440	2.127807645614416e-4	69.67527	30.93963	2021-08-18	19.8
572	25.9467977548292	0.0859323798588497	3	2	0	2	GJE	Finnmark	440	1.953008633155675e-4	69.67527	30.93963	2021-08-18	19.8
572	25.5839661244582	0.10806673746037	3	3	0	2	GJE	Finnmark	440	2.4560622150084094e-4	69.67527	30.93963	2021-08-18	19.8
572	25.7794799169133	0.0955117840755695	3	4	0	2	GJE	Finnmark	440	2.1707223653538523e-4	69.67527	30.93963	2021-08-18	19.8
572	25.6267869362277	0.105182879092603	3	5	0	2	GJE	Finnmark	440	2.390519979377341e-4	69.67527	30.93963	2021-08-18	19.8
572	25.6316189268056	0.104862329101338	3	6	0	2	GJE	Finnmark	440	2.3832347523031363e-4	69.67527	30.93963	2021-08-18	19.8
571	25.7845010709306	0.0952093301652772	2	1	0	2	GJE	Finnmark	400	2.38023325413193e-4	69.67527	30.93963	2021-08-18	19.8
571	26.1764123183885	0.0743304786984387	2	2	0	2	GJE	Finnmark	400	1.8582619674609676e-4	69.67527	30.93963	2021-08-18	19.8
571	26.0981059551666	0.0780995673356665	2	3	0	2	GJE	Finnmark	400	1.9524891833916627e-4	69.67527	30.93963	2021-08-18	19.8
571	26.2104786217987	0.0727480837846898	2	4	0	2	GJE	Finnmark	400	1.8187020946172451e-4	69.67527	30.93963	2021-08-18	19.8
571	26.1989935929321	0.073277768187164	2	5	0	2	GJE	Finnmark	400	1.8319442046791e-4	69.67527	30.93963	2021-08-18	19.8
571	26.174343200623	0.0744276914475169	2	6	0	2	GJE	Finnmark	400	1.8606922861879227e-4	69.67527	30.93963	2021-08-18	19.8
570	25.6354526540643	0.10460869817227	1	1	0	2	GJE	Finnmark	420	2.4906832898159524e-4	69.67527	30.93963	2021-08-18	19.8
570	25.7741500493391	0.0958338849431619	1	2	0	2	GJE	Finnmark	420	2.2817591653133786e-4	69.67527	30.93963	2021-08-18	19.8
570	25.9489690764341	0.0858146001587272	1	3	0	2	GJE	Finnmark	420	2.043204765683981e-4	69.67527	30.93963	2021-08-18	19.8
570	26.0385852937581	0.0810917859404461	1	4	0	2	GJE	Finnmark	420	1.9307568081058593e-4	69.67527	30.93963	2021-08-18	19.8
570	25.8533626621047	0.0911567400269861	1	5	0	2	GJE	Finnmark	420	2.1703985720710974e-4	69.67527	30.93963	2021-08-18	19.8
570	26.0197775006015	0.0820609209105254	1	6	0	2	GJE	Finnmark	420	1.9538314502506047e-4	69.67527	30.93963	2021-08-18	19.8
569	28.1963511423447	0.0207510148560914	3	1	0	1	GJE	Finnmark	350	5.928861387454686e-5	69.64657	30.9377	2021-08-18	24.1
569	28.1504069345573	0.0213620617016874	3	2	0	1	GJE	Finnmark	350	6.1034462004821145e-5	69.64657	30.9377	2021-08-18	24.1
569	28.077698873117	0.0223660394915593	3	3	0	1	GJE	Finnmark	350	6.390296997588371e-5	69.64657	30.9377	2021-08-18	24.1
569	28.096709156742	0.0220990710027648	3	4	0	1	GJE	Finnmark	350	6.314020286504229e-5	69.64657	30.9377	2021-08-18	24.1
569	28.0307913384714	0.0230386580922015	3	5	0	1	GJE	Finnmark	350	6.582473740629e-5	69.64657	30.9377	2021-08-18	24.1
569	27.9345905668863	0.0244820528493187	3	6	0	1	GJE	Finnmark	350	6.994872242662486e-5	69.64657	30.9377	2021-08-18	24.1
568	29.1200344325419	0.0115783406698859	2	1	0	1	GJE	Finnmark	370	3.129281262131324e-5	69.64657	30.9377	2021-08-18	24.1
568	28.8569694220869	0.013671389534258	2	2	0	1	GJE	Finnmark	370	3.694970144394054e-5	69.64657	30.9377	2021-08-18	24.1
568	29.0297096757082	0.0122581523465508	2	3	0	1	GJE	Finnmark	370	3.3130141477164324e-5	69.64657	30.9377	2021-08-18	24.1
568	29.2726312422149	0.0105144027695321	2	4	0	1	GJE	Finnmark	370	2.841730478251919e-5	69.64657	30.9377	2021-08-18	24.1
568	29.1257508372934	0.0115366083345214	2	5	0	1	GJE	Finnmark	370	3.118002252573351e-5	69.64657	30.9377	2021-08-18	24.1
568	29.0243370233396	0.0122998237517852	2	6	0	1	GJE	Finnmark	370	3.3242766896716756e-5	69.64657	30.9377	2021-08-18	24.1
567	29.0953525736429	0.0117602694075112	1	1	0	1	GJE	Finnmark	440	2.672788501707091e-5	69.64657	30.9377	2021-08-18	24.1
567	28.81089912217	0.0140750864896639	1	2	0	1	GJE	Finnmark	440	3.198883293105432e-5	69.64657	30.9377	2021-08-18	24.1
567	29.1756841360097	0.0111784091604546	1	3	0	1	GJE	Finnmark	440	2.5405475364669545e-5	69.64657	30.9377	2021-08-18	24.1
567	28.6892240131079	0.0151995269101271	1	4	0	1	GJE	Finnmark	440	3.454437934119795e-5	69.64657	30.9377	2021-08-18	24.1
567	28.9697876763498	0.0127310243998437	1	5	0	1	GJE	Finnmark	440	2.8934146363281136e-5	69.64657	30.9377	2021-08-18	24.1
567	29.0546345599369	0.0120666689656487	1	6	0	1	GJE	Finnmark	440	2.742424764920159e-5	69.64657	30.9377	2021-08-18	24.1
