Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std	(E2-14-2)	23.07541054877	0.1
A02	FAM		Std	(E2-14-2)	22.6992363064012	0.1
A03	FAM		Std	(E2-14-2)	23.0266701038239	0.1
A04	FAM		Unkn	567	NaN	NaN
A05	FAM		Unkn	567	NaN	NaN
A06	FAM		Unkn	567	NaN	NaN
A07	FAM		Unkn	568	NaN	NaN
A08	FAM		Unkn	568	NaN	NaN
A09	FAM		Unkn	568	37.745233960642	2.57561675182561E-06
A10	FAM		Unkn	589	34.515923692025	2.70743412343926E-05
A11	FAM		Unkn	589	36.4957697209461	6.40002824908376E-06
A12	FAM		Unkn	589	35.9355109531478	9.62574576224488E-06
B01	FAM		Std	(E2-14-2)-1	26.2938887794301	0.01
B02	FAM		Std	(E2-14-2)-1	26.2211407284093	0.01
B03	FAM		Std	(E2-14-2)-1	26.6326602529171	0.01
B04	FAM		Unkn	570	36.6022803157597	5.9222192558989E-06
B05	FAM		Unkn	570	38.2221289609136	1.81971364087531E-06
B06	FAM		Unkn	570	35.1869962177388	1.6605294238283E-05
B07	FAM		Unkn	571	38.8345517721309	1.16478856129623E-06
B08	FAM		Unkn	571	38.2831500877963	1.7405937637976E-06
B09	FAM		Unkn	571	NaN	NaN
B10	FAM		Unkn	590	36.0787177288597	8.67215801547391E-06
B11	FAM		Unkn	590	35.5415982098583	1.28250472152852E-05
B12	FAM		Unkn	590	35.46240615773	1.35866831320538E-05
C01	FAM		Std	(E2-14-2)-2	29.8326345475577	0.001
C02	FAM		Std	(E2-14-2)-2	29.7436937895782	0.001
C04	FAM		Unkn	573	NaN	NaN
C05	FAM		Unkn	573	38.9450030485045	1.07473885607308E-06
C06	FAM		Unkn	573	37.2590786013101	3.67019541222134E-06
C07	FAM		Unkn	574	37.0273729366006	4.34505549365429E-06
C08	FAM		Unkn	574	38.6063033064684	1.37549641019421E-06
C09	FAM		Unkn	574	NaN	NaN
C10	FAM		Unkn	592	39.1232798440454	9.43844456774083E-07
C11	FAM		Unkn	592	NaN	NaN
C12	FAM		Unkn	592	NaN	NaN
D01	FAM		Std	(E2-14-2)-3	33.4841725194867	0.0001
D02	FAM		Std	(E2-14-2)-3	33.0283264112917	0.0001
D04	FAM		Unkn	576	38.6472897026401	1.33503405534769E-06
D05	FAM		Unkn	576	38.5093438145813	1.47616576581311E-06
D06	FAM		Unkn	576	35.5150941006962	1.30750765410699E-05
D07	FAM		Unkn	577	NaN	NaN
D08	FAM		Unkn	577	36.2692902868942	7.54804665344923E-06
D09	FAM		Unkn	577	36.3663101414896	7.0329869333078E-06
D10	FAM		Unkn	593	NaN	NaN
D11	FAM		Unkn	593	38.6432611924425	1.33895773566326E-06
D12	FAM		Unkn	593	38.2097096998846	1.83625168902045E-06
E02	FAM		Std	(E2-14-2)-4	36.9629938529769	1E-05
E03	FAM		Std	(E2-14-2)-4	36.1195289923169	1E-05
E04	FAM		Neg Ctrl	exBLK	NaN	NaN
E05	FAM		Neg Ctrl	exBLK	NaN	NaN
E06	FAM		Neg Ctrl	exBLK	NaN	NaN
E07	FAM		Neg Ctrl	Plate NC	NaN	NaN
E08	FAM		Neg Ctrl	Plate NC	NaN	NaN
E09	FAM		Neg Ctrl	Plate NC	NaN	NaN
F01	FAM		Std	(E2-14-2)-5	38.0777374085919	1E-06
F02	FAM		Std	(E2-14-2)-5	NaN	1E-06
F03	FAM		Std	(E2-14-2)-5	38.1461419653038	1E-06
F04	FAM		Unkn	579	32.7438783700969	9.84443337200975E-05
F05	FAM		Unkn	579	32.9832195438242	8.26930273975094E-05
F06	FAM		Unkn	579	33.751790691348	4.72401570969096E-05
F07	FAM		Unkn	580	36.8782203587239	4.84377143313294E-06
F08	FAM		Unkn	580	35.3625544066746	1.46118147190935E-05
F09	FAM		Unkn	580	38.5453324216504	1.4379679066822E-06
G04	FAM		Unkn	582	36.7389377872015	5.3610433784532E-06
G05	FAM		Unkn	582	NaN	NaN
G06	FAM		Unkn	582	36.6098665653124	5.88958065817381E-06
G07	FAM		Unkn	583	NaN	NaN
G08	FAM		Unkn	583	NaN	NaN
G09	FAM		Unkn	583	38.3985404478036	1.6002604380768E-06
H01	FAM		Neg Ctrl	MM NC	NaN	NaN
H02	FAM		Neg Ctrl	MM NC	NaN	NaN
H03	FAM		Neg Ctrl	MM NC	NaN	NaN
H04	FAM		Unkn	586	22.232346731964	0.208347518592592
H05	FAM		Unkn	586	22.3892361260054	0.185845596173611
H06	FAM		Unkn	586	22.3636555079221	0.189341307217597
H07	FAM		Unkn	587	26.0444706100056	0.0129635326553187
H08	FAM		Unkn	587	26.0792593449146	0.0126391259310302
H09	FAM		Unkn	587	26.0700173546483	0.0127245076170714
