Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std	2.8E-01	22.4635938144085	0.38
A02	FAM		Std	2.8E-01	22.4325392299485	0.38
A03	FAM		Std	2.8E-01	22.3549720709746	0.38
A04	FAM		Unkn	537	NaN	NaN
A05	FAM		Unkn	537	38.3669271270813	1.90968188505924E-05
A06	FAM		Unkn	537	NaN	NaN
A07	FAM		Unkn	537	NaN	NaN
A08	FAM		Unkn	537	NaN	NaN
A09	FAM		Unkn	537	40.509325587152	4.96272877325519E-06
A10	FAM		Neg Ctrl	NC Plate	NaN	NaN
A11	FAM		Neg Ctrl	NC Plate	NaN	NaN
A12	FAM		Neg Ctrl	NC Plate	NaN	NaN
B01	FAM		Std	2.8E-02	26.3000958253602	0.038
B02	FAM		Std	2.8E-02	26.3147403469781	0.038
B03	FAM		Std	2.8E-02	26.3803845693853	0.038
B04	FAM		Unkn	538	NaN	NaN
B05	FAM		Unkn	538	NaN	NaN
B06	FAM		Unkn	538	NaN	NaN
B07	FAM		Unkn	538	NaN	NaN
B08	FAM		Unkn	538	NaN	NaN
B09	FAM		Unkn	538	NaN	NaN
B10	FAM		Neg Ctrl	NC Plate	NaN	NaN
B11	FAM		Neg Ctrl	NC Plate	NaN	NaN
B12	FAM		Neg Ctrl	NC Plate	NaN	NaN
C01	FAM		Std	2.8E-03	30.4242664085893	0.0038
C02	FAM		Std	2.8E-03	30.4814295984992	0.0038
C03	FAM		Std	2.8E-03	29.92366016517	0.0038
C04	FAM		Unkn	539	NaN	NaN
C05	FAM		Unkn	539	NaN	NaN
C06	FAM		Unkn	539	NaN	NaN
C07	FAM		Unkn	539	NaN	NaN
C08	FAM		Unkn	539	NaN	NaN
C09	FAM		Unkn	539	NaN	NaN
C10	FAM		Unkn	545	33.9561834731342	0.000306088463969517
C11	FAM		Unkn	545	33.803992107567	0.000336838080567457
C12	FAM		Unkn	545	35.094761859723	0.000149561808011601
D01	FAM		Std	2.8E-04	33.6644027373373	0.00038
D02	FAM		Std	2.8E-04	33.7353217418511	0.00038
D03	FAM		Std	2.8E-04	33.6778458270745	0.00038
D04	FAM		Unkn	540	NaN	NaN
D05	FAM		Unkn	540	NaN	NaN
D06	FAM		Unkn	540	NaN	NaN
D07	FAM		Unkn	540	NaN	NaN
D08	FAM		Unkn	540	NaN	NaN
D09	FAM		Unkn	540	NaN	NaN
D10	FAM		Unkn	545	34.6923151930745	0.000192644823808634
D11	FAM		Unkn	545	34.1128355294242	0.000277366630097199
D12	FAM		Unkn	545	34.4957189371747	0.000218002604069675
E01	FAM		Std	2.8E-05	NaN	3.8E-05
E02	FAM		Std	2.8E-05	36.4370003273497	3.8E-05
E03	FAM		Std	2.8E-05	37.4106276142113	3.8E-05
E04	FAM		Unkn	541	NaN	NaN
E05	FAM		Unkn	541	NaN	NaN
E06	FAM		Unkn	541	NaN	NaN
E07	FAM		Unkn	541	NaN	NaN
E08	FAM		Unkn	541	NaN	NaN
E09	FAM		Unkn	541	NaN	NaN
E10	FAM		Unkn	546	30.0685962473158	0.0035303835234566
E11	FAM		Unkn	546	30.2554116060119	0.00313898619106936
E12	FAM		Unkn	546	30.1998389633422	0.00325065008759983
F01	FAM		Std	2.8E-06	NaN	3.8E-06
F02	FAM		Std	2.8E-06	NaN	3.8E-06
F03	FAM		Std	2.8E-06	NaN	3.8E-06
F04	FAM		Unkn	542	NaN	NaN
F05	FAM		Unkn	542	NaN	NaN
F06	FAM		Unkn	542	NaN	NaN
F07	FAM		Unkn	542	NaN	NaN
F08	FAM		Unkn	542	NaN	NaN
F09	FAM		Unkn	542	NaN	NaN
F10	FAM		Unkn	546	29.9606864269161	0.00377832827905831
F11	FAM		Unkn	546	30.0446539595647	0.00358395228528422
F12	FAM		Unkn	546	30.0084413822936	0.00366652317322416
G04	FAM		Unkn	543	32.7733548674556	0.000644111540897327
G05	FAM		Unkn	543	32.9015782484387	0.000594202137741749
G06	FAM		Unkn	543	33.0950825594311	0.000526107510604099
G07	FAM		Unkn	543	32.987670466205	0.000562880674880031
G08	FAM		Unkn	543	33.3180613630265	0.000457260014492515
G09	FAM		Unkn	543	33.9158734713152	0.00031394854410011
G10	FAM		Unkn	547	30.1438948298136	0.00336707291318793
G11	FAM		Unkn	547	30.4728498873275	0.00273773644614768
G12	FAM		Unkn	547	30.1826396033015	0.00328600775564916
H01	FAM		Neg Ctrl	NC MM	NaN	NaN
H02	FAM		Neg Ctrl	NC MM	NaN	NaN
H03	FAM		Neg Ctrl	NC MM	NaN	NaN
H04	FAM		Unkn	544	32.3701403256147	0.000830056165064795
H05	FAM		Unkn	544	32.519765170616	0.000755499803698155
H06	FAM		Unkn	544	32.6415846334915	0.000699772462073553
H07	FAM		Unkn	544	32.433309151414	0.000797722069316217
H08	FAM		Unkn	544	32.2741376523993	0.000881723867723411
H09	FAM		Unkn	544	31.9275339436948	0.00109651499457667
H10	FAM		Unkn	547	30.3463799229651	0.00296441857787925
H11	FAM		Unkn	547	30.0772015704361	0.00351132610615438
H12	FAM		Unkn	547	30.2163246639678	0.00321711668080765
