Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std	1.6 ng/µl	21.7730060085163	1.6
A02	FAM		Std	1.6 ng/µl	21.7908305927207	1.6
A03	FAM		Std	1.6 ng/µl	21.9876797313977	1.6
A04	FAM		Unkn	576	22.2169535635228	1.33235892442861
A05	FAM		Unkn	576	22.2624934388774	1.29076225087361
A06	FAM		Unkn	576	21.9076835170796	1.65260768901842
A07	FAM		Unkn	576	22.2783105048333	1.27662070114761
A08	FAM		Unkn	576	21.8789607144516	1.686001247469
A09	FAM		Unkn	576	22.316902334493	1.24276370080452
A10	FAM		Unkn	583	36.7330084145185	5.41726500861197E-05
A11	FAM		Unkn	583	38.5741051206617	1.50273358925228E-05
A12	FAM		Unkn	583	NaN	NaN
B01	FAM		Std	0.16 ng/µl	25.1305555681815	0.16
B02	FAM		Std	0.16 ng/µl	25.0875924200787	0.16
B03	FAM		Std	0.16 ng/µl	25.1625567666969	0.16
B04	FAM		Unkn	577	24.4058245061857	0.290086688608924
B05	FAM		Unkn	577	24.2145740818239	0.331419117622975
B06	FAM		Unkn	577	24.3471463935181	0.30218775108647
B07	FAM		Unkn	577	24.5631741285127	0.259975496944322
B08	FAM		Unkn	577	24.526461358646	0.266708808115366
B09	FAM		Unkn	577	24.5006662572106	0.271543808654786
B10	FAM		Unkn	583	35.2631778123931	0.000150791534759428
B11	FAM		Unkn	583	36.3639774372761	7.00495265033997E-05
B12	FAM		Unkn	583	35.1514966875778	0.000162989061684825
C01	FAM		Std	16 pg/µl	29.1160329479995	0.016
C02	FAM		Std	16 pg/µl	28.9813719847377	0.016
C03	FAM		Std	16 pg/µl	28.7636371430192	0.016
C04	FAM		Unkn	578	25.1105225219816	0.177569976309339
C05	FAM		Unkn	578	24.8232011410183	0.216909713423935
C06	FAM		Unkn	578	24.6707197001382	0.241213632114945
C07	FAM		Neg Ctrl	NC plate	NaN	NaN
C08	FAM		Neg Ctrl	NC plate	NaN	NaN
C09	FAM		Neg Ctrl	NC plate	NaN	NaN
C10	FAM		Unkn	584	NaN	NaN
C11	FAM		Unkn	584	NaN	NaN
C12	FAM		Unkn	584	NaN	NaN
D01	FAM		Std	1.6 pg/µl	31.7738254648144	0.0016
D02	FAM		Std	1.6 pg/µl	31.4084835589069	0.0016
D03	FAM		Std	1.6 pg/µl	31.4839719077855	0.0016
D04	FAM		Unkn	578	24.6273689888587	0.248607740037922
D05	FAM		Unkn	578	24.5063224747779	0.270476166642379
D06	FAM		Unkn	578	24.5939003490462	0.254471000417735
D07	FAM		Neg Ctrl	exBlank	NaN	NaN
D08	FAM		Neg Ctrl	exBlank	NaN	NaN
D09	FAM		Neg Ctrl	exBlank	NaN	NaN
D10	FAM		Unkn	584	37.7407625345281	2.68505315586057E-05
D11	FAM		Unkn	584	NaN	NaN
D12	FAM		Unkn	584	NaN	NaN
E01	FAM		Std	0.16 pg/µl	36.7461196874754	0.00016
E02	FAM		Std	0.16 pg/µl	34.4654795572649	0.00016
E03	FAM		Std	0.16 pg/µl	35.8873455437759	0.00016
E04	FAM		Unkn	579	32.1966716523398	0.00127625953924367
E05	FAM		Unkn	579	32.6321359610853	0.000942364702397437
E06	FAM		Unkn	579	32.3761580427671	0.00112628331426551
E07	FAM		Unkn	579	32.6281104146385	0.000945010567121044
E08	FAM		Unkn	579	33.1746349064255	0.000645837115409742
E09	FAM		Unkn	579	33.0951464118784	0.000682600835969093
E10	FAM		Unkn	546	NaN	NaN
E11	FAM		Unkn	546	NaN	NaN
E12	FAM		Unkn	546	NaN	NaN
F01	FAM		Std	16 fg/µl	37.4170953891176	1.6E-05
F03	FAM		Std	16 fg/µl	NaN	1.6E-05
F04	FAM		Unkn	580	33.1908260504557	0.000638594942513803
F05	FAM		Unkn	580	33.1639759628368	0.00065064955224974
F06	FAM		Unkn	580	33.4318179426095	0.000539920520864404
F07	FAM		Unkn	580	33.2028777911041	0.000633257064736201
F08	FAM		Unkn	580	33.2541248592755	0.000611052805696485
F09	FAM		Unkn	580	33.1025950023384	0.00067906876287663
F10	FAM		Unkn	547	NaN	NaN
F11	FAM		Unkn	547	NaN	NaN
F12	FAM		Unkn	547	NaN	NaN
G01	FAM		Std	1.6 fg/µl	NaN	1.6E-06
G02	FAM		Std	1.6 fg/µl	NaN	1.6E-06
G03	FAM		Std	1.6 fg/µl	NaN	1.6E-06
G04	FAM		Unkn	581	33.9774073211808	0.000369231737242278
G05	FAM		Unkn	581	34.0253868018836	0.000357096923057412
G06	FAM		Unkn	581	34.7314383456031	0.000218382798426888
G07	FAM		Unkn	581	33.3896327217749	0.0005560195885226
G08	FAM		Unkn	581	33.5668052737288	0.000491471835256508
G09	FAM		Unkn	581	33.1111540959205	0.000675032657459745
G10	FAM		Unkn	548	NaN	NaN
G11	FAM		Unkn	548	NaN	NaN
G12	FAM		Unkn	548	NaN	NaN
H01	FAM		Neg Ctrl	NC MM	NaN	NaN
H02	FAM		Neg Ctrl	NC MM	NaN	NaN
H03	FAM		Neg Ctrl	NC MM	NaN	NaN
H04	FAM		Unkn	582	NaN	NaN
H05	FAM		Unkn	582	NaN	NaN
H06	FAM		Unkn	582	NaN	NaN
H07	FAM		Unkn	582	NaN	NaN
H08	FAM		Unkn	582	NaN	NaN
H09	FAM		Unkn	582	NaN	NaN
H10	FAM		Unkn	549	NaN	NaN
H11	FAM		Unkn	549	NaN	NaN
H12	FAM		Unkn	549	NaN	NaN
