Well	Fluor	Target	Content	Sample	Cq	SQ
A01	FAM		Std		21.9114518316689	2
A02	FAM		Std		21.8707543826219	2
A03	FAM		Std		21.8196954216191	2
A04	FAM		Unkn	567	32.4975794357746	0.00131195970007987
A05	FAM		Unkn	567	32.2087775141467	0.00160285423177924
A06	FAM		Unkn	567	32.1650792900499	0.00165216673825932
A07	FAM		Unkn	568	32.4573208511234	0.00134910106143192
A08	FAM		Unkn	568	32.7232577169798	0.00112190692395816
A09	FAM		Unkn	568	32.446599769925	0.00135916808615712
A10	FAM		Unkn	589	NaN	NaN
A11	FAM		Unkn	589	NaN	NaN
A12	FAM		Unkn	589	NaN	NaN
B01	FAM		Std		25.2044655063652	0.2
B02	FAM		Std		25.177698644744	0.2
B03	FAM		Std		25.2001756809067	0.2
B04	FAM		Unkn	570	31.3644061413718	0.00287858399994792
B05	FAM		Unkn	570	31.1738907797922	0.0032851345277195
B06	FAM		Unkn	570	31.1989391228886	0.00322856681031941
B07	FAM		Unkn	571	32.0949543626464	0.00173449159288069
B08	FAM		Unkn	571	31.5210296921311	0.00258232721458338
B09	FAM		Unkn	571	31.6421055808301	0.00237437285431451
B10	FAM		Unkn	590	NaN	NaN
B11	FAM		Unkn	590	NaN	NaN
B12	FAM		Unkn	590	NaN	NaN
C01	FAM		Std		28.525205258291	0.02
C02	FAM		Std		28.6221335398017	0.02
C03	FAM		Std		28.6607092373139	0.02
C04	FAM		Unkn	573	30.5705053737848	0.00499188322660622
C05	FAM		Unkn	573	30.6744366107552	0.00464478082009225
C06	FAM		Unkn	573	31.1843609192932	0.00326136980518579
C07	FAM		Unkn	574	31.2858004212003	0.00303984365025679
C08	FAM		Unkn	574	31.3023034022393	0.00300525498679828
C09	FAM		Unkn	574	31.0841873431416	0.00349596928213093
C10	FAM		Unkn	592	NaN	NaN
C11	FAM		Unkn	592	NaN	NaN
C12	FAM		Unkn	592	NaN	NaN
D01	FAM		Std		32.1270935379859	0.002
D02	FAM		Std		32.2037479198318	0.002
D03	FAM		Std		32.2155046760313	0.002
D04	FAM		Unkn	576	30.4745895307535	0.00533518828513331
D05	FAM		Unkn	576	30.2832584718968	0.00609213687223826
D06	FAM		Unkn	576	30.3963355671382	0.0056326939941918
D07	FAM		Unkn	577	32.3658825947745	0.00143741237381273
D08	FAM		Unkn	577	32.7025925517329	0.00113809942140731
D09	FAM		Unkn	577	32.4864559513208	0.00132211844561831
D10	FAM		Unkn	593	NaN	NaN
D11	FAM		Unkn	593	NaN	NaN
D12	FAM		Unkn	593	NaN	NaN
E01	FAM		Std		35.4465148850389	0.0002
E02	FAM		Std		34.4955672467634	0.0002
E03	FAM		Std		35.1890754686517	0.0002
E04	FAM		Neg Ctrl	585	NaN	NaN
E05	FAM		Neg Ctrl	585	NaN	NaN
E06	FAM		Neg Ctrl	585	NaN	NaN
E07	FAM		Neg Ctrl	NC Plate	NaN	NaN
E08	FAM		Neg Ctrl	NC Plate	NaN	NaN
E09	FAM		Neg Ctrl	NC Plate	NaN	NaN
E10	FAM		Neg Ctrl	595	NaN	NaN
E11	FAM		Neg Ctrl	595	NaN	NaN
E12	FAM		Neg Ctrl	595	NaN	NaN
F01	FAM		Std		NaN	2E-05
F02	FAM		Std		NaN	2E-05
F03	FAM		Std		38.3955814895065	2E-05
F04	FAM		Unkn	579	33.6244324116735	0.000600572531352974
F05	FAM		Unkn	579	32.7178872407343	0.00112609275091081
F06	FAM		Unkn	579	33.5724219943077	0.000622627863788928
F07	FAM		Unkn	580	33.5724836798432	0.000622601231694185
F08	FAM		Unkn	580	33.7464399863117	0.000551851885993713
F09	FAM		Unkn	580	33.3706873883966	0.000716112924223488
G01	FAM		Neg Ctrl	exBLK	NaN	NaN
G02	FAM		Neg Ctrl	exBLK	NaN	NaN
G03	FAM		Neg Ctrl	exBLK	NaN	NaN
G04	FAM		Unkn	582	35.8781948660012	0.000125845702306203
G05	FAM		Unkn	582	35.0804875868807	0.000218811549253489
G06	FAM		Unkn	582	35.9180352083352	0.000122416611643702
G07	FAM		Unkn	583	35.6334103396853	0.000149126888413347
G08	FAM		Unkn	583	35.8668577195494	0.000126838939775727
G09	FAM		Unkn	583	36.0827492396346	0.000109203422096281
H01	FAM		Neg Ctrl	NC MM	NaN	NaN
H02	FAM		Neg Ctrl	NC MM	NaN	NaN
H03	FAM		Neg Ctrl	NC MM	NaN	NaN
H04	FAM		Unkn	586	NaN	NaN
H05	FAM		Unkn	586	NaN	NaN
H06	FAM		Unkn	586	NaN	NaN
H07	FAM		Unkn	587	NaN	NaN
H08	FAM		Unkn	587	NaN	NaN
H09	FAM		Unkn	587	NaN	NaN
