Well	Fluor	Target	Content	Sample	Cq	SQ	tech_rep
A01	FAM		Std		21.93579417	2	
A02	FAM		Std		21.9178773	2	
A03	FAM		Std		22.15907792	2	
A04	FAM		Unkn	569	33.55048683	0.00088033	1
A05	FAM		Unkn	569	33.41126736	0.000967102	2
A06	FAM		Unkn	569	33.57856747	0.000863795	3
A07	FAM		Unkn	594	NaN	NaN	1
A08	FAM		Unkn	594	NaN	NaN	2
A09	FAM		Unkn	594	NaN	NaN	3
B01	FAM		Std		25.34327787	0.2	
B02	FAM		Std		25.30229948	0.2	
B03	FAM		Std		25.3195648	0.2	
B04	FAM		Unkn	572	31.04551295	0.004777988	1
B05	FAM		Unkn	572	30.81056812	0.005599434	2
B06	FAM		Unkn	572	31.12774402	0.004519915	3
B07	FAM		Unkn	NC Plate	NaN	NaN	
B08	FAM		Unkn	NC Plate	NaN	NaN	
B09	FAM		Unkn	NC Plate	NaN	NaN	
C01	FAM		Std		29.32332285	0.02	
C02	FAM		Std		29.43526875	0.02	
C03	FAM		Std		29.5532097	0.02	
C04	FAM		Unkn	575	31.29358697	0.004041064	1
C05	FAM		Unkn	575	31.30051105	0.004022214	2
C06	FAM		Unkn	575	31.61889624	0.003244119	3
D01	FAM		Std		32.21277615	0.002	
D02	FAM		Std		32.56464002	0.002	
D03	FAM		Std		32.11010219	0.002	
D04	FAM		Unkn	578	32.55877904	0.001719769	1
D05	FAM		Unkn	578	32.53014694	0.001753342	2
D06	FAM		Unkn	578	33.00263869	0.001274399	3
E01	FAM		Std		35.21091868	0.0002	
E04	FAM		Unkn	581	33.60708485	0.00084732	1
E05	FAM		Unkn	581	34.14251047	0.000590243	2
E06	FAM		Unkn	581	35.49211598	0.000237274	3
F01	FAM		Std		NaN	2.00E-05	
F02	FAM		Std		NaN	2.00E-05	
F03	FAM		Std		NaN	2.00E-05	
F04	FAM		Unkn	584	36.11901759	0.000155384	1
F05	FAM		Unkn	584	36.6490259	0.000108637	2
F06	FAM		Unkn	584	35.01018865	0.000328532	3
G01	FAM		Neg Ctrl	exBLK	NaN	NaN	
G02	FAM		Neg Ctrl	exBLK	NaN	NaN	
G03	FAM		Neg Ctrl	exBLK	NaN	NaN	
G04	FAM		Unkn	588	37.56498188	5.85E-05	1
G05	FAM		Unkn	588	NaN	NaN	2
G06	FAM		Unkn	588	40.44967856	8.34E-06	3
H01	FAM		Unkn	MM NC	NaN	NaN	
H02	FAM		Unkn	MM NC	NaN	NaN	
H03	FAM		Unkn	MM NC	NaN	NaN	
H04	FAM		Unkn	591	NaN	NaN	1
H05	FAM		Unkn	591	NaN	NaN	2
H06	FAM		Unkn	591	NaN	NaN	3
