	Well	Fluor	Target	Content	Sample	Cq	SQ
	A01	FAM		Std	9.67 ng/uL	17.1246802880521	9.67
	A02	FAM		Std	9.67 ng/uL	17.4817531369072	9.67
	A03	FAM		Std	9.67 ng/uL	17.5260577435415	9.67
	A04	FAM		Unkn	548	33.7281107209752	0.000218425304288892
	A05	FAM		Unkn	548	32.5509907721258	0.000492573811403074
	A06	FAM		Unkn	548	33.262083081928	0.000301386685309849
	A07	FAM		Unkn	548	33.291478113645	0.00029532808131925
	A08	FAM		Unkn	548	33.1701177129824	0.000321156120332774
	A09	FAM		Unkn	548	33.365223107511	0.00028065915732752
	A10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	A11	FAM		Neg Ctrl	NC Plate	NaN	NaN
	A12	FAM		Neg Ctrl	NC Plate	NaN	NaN
	B01	FAM		Std	0.73 ng/uL	21.4473069317212	0.73
	B02	FAM		Std	0.73 ng/uL	21.4065034907834	0.73
	B03	FAM		Std	0.73 ng/uL	21.4415120767234	0.73
	B04	FAM		Unkn	549	35.8875633434311	4.91368999692169E-05
	B05	FAM		Unkn	549	36.2945078797756	3.70948139385909E-05
	B06	FAM		Unkn	549	35.3831087799529	6.96238445259981E-05
	B07	FAM		Unkn	549	36.2319268983189	3.87337203929787E-05
	B08	FAM		Unkn	549	36.0729761015564	4.32293619099241E-05
	B09	FAM		Unkn	549	34.6862538383746	0.000112676579443329
	B10	FAM		Neg Ctrl	NC Plate	NaN	NaN
	C01	FAM		Std	49 pg/uL	27.0737552406981	0.049
	C02	FAM		Std	49 pg/uL	27.0720595138061	0.049
	C03	FAM		Std	49 pg/uL	26.8114764592067	0.049
	C04	FAM		Unkn	550	36.5584956496562	3.09107543297999E-05
	C05	FAM		Unkn	550	35.0313675760462	8.8774868713436E-05
	C06	FAM		Unkn	550	37.0608459962967	2.18469431835711E-05
	C07	FAM		Unkn	550	44.2905686685468	1.48004520124795E-07
	C08	FAM		Unkn	550	35.8706248878798	4.97152647109737E-05
	C09	FAM		Unkn	550	37.3656538375333	1.76986418610226E-05
	C10	FAM		Unkn	556	34.3969823373705	0.00013760146667722
	C11	FAM		Unkn	556	NaN	NaN
	C12	FAM		Unkn	556	35.9079869520645	4.84484747341485E-05
	D01	FAM		Std	7.6 pg/uL	29.6747423874944	0.0076
	D02	FAM		Std	7.6 pg/uL	29.4448443474043	0.0076
	D03	FAM		Std	7.6 pg/uL	29.5204957103158	0.0076
	D04	FAM		Unkn	551	44.0890732568703	1.7010972638497E-07
	D05	FAM		Unkn	551	36.4919218001722	3.23655945889331E-05
	D06	FAM		Unkn	551	36.7184438554737	2.76771100996176E-05
	D07	FAM		Unkn	551	36.8865795342552	2.46419692970318E-05
	D08	FAM		Unkn	551	NaN	NaN
	D09	FAM		Unkn	551	NaN	NaN
	D10	FAM		Unkn	556	36.7390381038999	2.72861272576363E-05
	D11	FAM		Unkn	556	36.5204984179303	3.17329040349434E-05
	D12	FAM		Unkn	556	36.4150883149563	3.41299576357962E-05
	E01	FAM		Std	0.76 pg/uL	31.7798219699961	0.00076
	E02	FAM		Std	0.76 pg/uL	32.7056695843581	0.00076
	E03	FAM		Std	0.76 pg/uL	32.7615205492355	0.00076
	E04	FAM		Unkn	552	33.9686720737689	0.000184981341827254
	E05	FAM		Unkn	552	35.7789026829941	5.29674348440927E-05
	E06	FAM		Unkn	552	35.6433064819852	5.81689911555908E-05
	E07	FAM		Unkn	552	35.3107670825448	7.31918121818052E-05
	E08	FAM		Unkn	552	35.4862870778303	6.48338292345967E-05
	E09	FAM		Unkn	552	35.8914441464219	4.90053399057832E-05
	E10	FAM		Unkn	557	44.6864912627208	1.12586756711695E-07
	E11	FAM		Unkn	557	34.2123540225038	0.000156320752438365
	E12	FAM		Unkn	557	NaN	NaN
	F01	FAM		Std	76 fg/uL	36.8274472361847	7.6E-05
	F02	FAM		Std	76 fg/uL	35.1267814870292	7.6E-05
	F03	FAM		Std	76 fg/uL	33.8298702732675	7.6E-05
	F04	FAM		Unkn	553	35.5757264679234	6.09491137740672E-05
	F05	FAM		Unkn	553	33.3657440704288	0.000280558165868351
	F06	FAM		Unkn	553	35.0282404063316	8.89668626269962E-05
	F07	FAM		Unkn	553	34.370091021834	0.00014018165967496
	F08	FAM		Unkn	553	35.2002905301306	7.89966191856124E-05
	F09	FAM		Unkn	553	35.7050580766948	5.57396650301541E-05
	F10	FAM		Unkn	557	35.9894202718166	4.57981434200072E-05
	F11	FAM		Unkn	557	38.1513696560799	1.02849830351172E-05
	F12	FAM		Unkn	557	35.1811310797585	8.00491762998648E-05
	G01	FAM		Std	7.6 fg/uL	NaN	7.6E-06
	G02	FAM		Std	7.6 fg/uL	35.1944426795044	7.6E-06
	G03	FAM		Std	7.6 fg/uL	NaN	7.6E-06
	G04	FAM		Unkn	554	35.8121996206702	5.17629410170558E-05
	G05	FAM		Unkn	554	34.2076887138594	0.000156825383331524
	G06	FAM		Unkn	554	36.0822030565105	4.29546796835653E-05
	G07	FAM		Unkn	554	36.1558486899432	4.08239260573095E-05
	G08	FAM		Unkn	554	34.7973164054912	0.000104354655548383
	G09	FAM		Unkn	554	35.2793996919628	7.47951745911606E-05
	G10	FAM		Unkn	558	NaN	NaN
	G11	FAM		Unkn	558	NaN	NaN
	G12	FAM		Unkn	558	NaN	NaN
	H01	FAM		Neg Ctrl	NC MM	NaN	NaN
	H02	FAM		Neg Ctrl	NC MM	NaN	NaN
	H03	FAM		Neg Ctrl	NC MM	NaN	NaN
	H04	FAM		Unkn	555	36.7684707240764	2.67369155609951E-05
	H05	FAM		Unkn	555	36.3949574162214	3.46079259347296E-05
	H06	FAM		Unkn	555	36.5418365831843	3.12685528323413E-05
	H07	FAM		Unkn	555	NaN	NaN
	H08	FAM		Unkn	555	34.8431316267883	0.000101103456194388
	H09	FAM		Unkn	555	44.5334869263362	1.25139039958693E-07
	H10	FAM		Unkn	558	NaN	NaN
	H11	FAM		Unkn	558	NaN	NaN
	H12	FAM		Unkn	558	NaN	NaN
