		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
A	Sample	oncgor_std1	oncgor_std1	oncgor_std1	576	576	576	576	576	576	583	583	583
A	Cq	21.4823431419866	21.4713463692891	21.6646840879457	21.9819286459467	22.0568554613846	21.5645901655794	22.0545575352304	21.5160401583128	22.1158143923209	36.5142961495881	38.2498745988681	NaN
A	copy number	15.4	15.4	15.4	12.033207487677	11.4241132742333	16.0706460267029	11.4423270911197	16.6207543991773	10.9665795601579	0.000506976724128243	0.000152209399791584	NaN
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
B	Sample	oncgor_std2	oncgor_std2	oncgor_std2	577	577	577	577	577	577	583	583	583
B	Cq	24.8390146953936	24.7044081605201	24.8835810463214	24.1610737807354	23.9550155103925	24.1202456361027	24.3231075686984	24.2947459307155	24.2666544573182	35.0994640403205	36.1550382354162	34.8368222059476
B	copy number	1.54	1.54	1.54	2.65635528494923	3.06426286018539	2.73261636953577	2.37411176396906	2.42125348535552	2.46886883106661	0.00135196211287194	0.000650358920239409	0.00162196138689167
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn
C	Sample	oncgor_std3	oncgor_std3	oncgor_std3	578	578	578	nc_plt	nc_plt	nc_plt	584	584	584
C	Cq	28.833998675602	28.611235460491	28.4581428999122	24.8852046008539	24.5170427333089	24.3904771643531	NaN	NaN	NaN	NaN	NaN	NaN
C	copy number	0.154	0.154	0.154	1.60792372346743	2.07544542775212	2.26577915473541	NaN	NaN	NaN	NaN	NaN	NaN
D	Content	Std	Std	Std	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn
D	Sample	oncgor_std4	oncgor_std4	oncgor_std4	578	578	578	nc_ext	nc_ext	nc_ext	584	584	584
D	Cq	31.4392574802538	31.1591290457	31.231724072406	24.351168135907	24.2055427945924	24.3500443243281	NaN	NaN	NaN	37.3879587567605	NaN	NaN
D	copy number	0.0154	0.0154	0.0154	2.32837381880285	2.57571297991507	2.33018854797752	NaN	NaN	NaN	0.000276660013559978	NaN	NaN
E	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
E	Sample	oncgor_std5	oncgor_std5	oncgor_std5	579	579	579	579	579	579	546	546	546
E	Cq	36.5113566430072	34.1784638524416	35.5965609749801	32.0027026609528	32.3659840839765	32.1364232462908	32.3386930672573	32.9230485875834	32.8484958787505	NaN	NaN	NaN
E	copy number	0.00154	0.00154	0.00154	0.0115700415281056	0.00899411512973278	0.0105456762079372	0.00916590178995013	0.00611276802519995	0.00643701000104102	NaN	NaN	NaN
F	Content	Std		Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
F	Sample	oncgor_std6		oncgor_std6	580	580	580	580	580	580	547	547	547
F	Cq	37.200483851478		NaN	33.0031262410809	32.906383970132	33.2245656968956	33.0095763037679	33.0613393659172	32.8211972526859	NaN	NaN	NaN
F	copy number	0.000154		0.000154	0.00578266721848866	0.00618379785694961	0.00495972262473674	0.00575686732398283	0.00555394327693447	0.00655999082575199	NaN	NaN	NaN
G	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
G	Sample	oncgor_std7	oncgor_std7	oncgor_std7	581	581	581	581	581	581	548	548	548
G	Cq	NaN	NaN	NaN	33.6252247424155	33.6885503696056	34.4138088990782	33.0970657823266	33.3256328529594	32.8493272748245	NaN	NaN	NaN
G	copy number	1.54E-05	1.54E-05	1.54E-05	0.00375687970802192	0.0035955162943041	0.00217470830631021	0.00541807433963894	0.00462411016182682	0.00643330094475685	NaN	NaN	NaN
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
H	Sample	nc_mm	nc_mm	nc_mm	582	582	582	582	582	582	549	549	549
H	Cq	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
H	copy number	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
