	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	FAM		Std	salalp_std0		22.0737081664148	22.0737081664148	0	1.6	0.204119982655925	1.6	0	63.5	
	A02	FAM		Std	salalp_std0		21.5228949266315	21.5228949266315	0	1.6	0.204119982655925	1.6	0	63.5	
	A03	FAM		Std	salalp_std0		21.9630298894863	21.9630298894863	0	1.6	0.204119982655925	1.6	0	63.5	
	A04	FAM		Unkn	567		NaN	0	0	NaN	NaN	0	0	63.5	
	A05	FAM		Unkn	567		NaN	0	0	NaN	NaN	0	0	63.5	
	A06	FAM		Unkn	567		NaN	0	0	NaN	NaN	0	0	63.5	
	A07	FAM		Unkn	568		NaN	0	0	NaN	NaN	0	0	63.5	
	A08	FAM		Unkn	568		NaN	0	0	NaN	NaN	0	0	63.5	
	A09	FAM		Unkn	568		36.4914280089572	36.4914280089572	0	6.65937286814086E-05	-4.17656666763599	6.65937286814086E-05	0	63.5	
	A10	FAM		Unkn	589		33.3234299351058	33.3234299351058	0	0.000598270456132534	-3.22310244301357	0.000598270456132534	0	63.5	
	A11	FAM		Unkn	589		35.3133171199739	35.3133171199739	0	0.000150662903854107	-3.82199366629636	0.000150662903854107	0	63.5	
	A12	FAM		Unkn	589		34.6410816658665	34.6410816658665	0	0.000240064149023514	-3.61967269227033	0.000240064149023514	0	63.5	
	B01	FAM		Std	salalp_std1		25.215036948021	25.215036948021	0	0.16	-0.795880017344075	0.16	0	63.5	
	B02	FAM		Std	salalp_std1		25.1408674662129	25.1408674662129	0	0.16	-0.795880017344075	0.16	0	63.5	
	B03	FAM		Std	salalp_std1		25.5569879705431	25.5569879705431	0	0.16	-0.795880017344075	0.16	0	63.5	
	B04	FAM		Unkn	570		35.4667799533787	35.4667799533787	0	0.000135462479236289	-3.86818098019292	0.000135462479236289	0	63.5	
	B05	FAM		Unkn	570		36.5481135186204	36.5481135186204	0	6.40284281648672E-05	-4.19362715954868	6.40284281648672E-05	0	63.5	
	B06	FAM		Unkn	570		34.0377957193912	34.0377957193912	0	0.000364667219735577	-3.43810327405335	0.000364667219735577	0	63.5	
	B07	FAM		Unkn	571		37.6493887383425	37.6493887383425	0	2.98486623108843E-05	-4.52507512731582	2.98486623108843E-05	0	63.5	
	B08	FAM		Unkn	571		36.8418833009606	36.8418833009606	0	5.22345316848889E-05	-4.28204229466145	5.22345316848889E-05	0	63.5	
	B09	FAM		Unkn	571		NaN	0	0	NaN	NaN	0	0	63.5	
	B10	FAM		Unkn	590		34.73753627311	34.73753627311	0	0.000224542013599352	-3.64870238710055	0.000224542013599352	0	63.5	
	B11	FAM		Unkn	590		34.2853266252805	34.2853266252805	0	0.00030718357219801	-3.51260201355759	0.00030718357219801	0	63.5	
	B12	FAM		Unkn	590		34.271655335991	34.271655335991	0	0.000310107735163575	-3.50848740081537	0.000310107735163575	0	63.5	
	C01	FAM		Std	salalp_std2		28.6921485680043	28.6921485680043	0	0.016	-1.79588001734408	0.016	0	63.5	
	C02	FAM		Std	salalp_std2		28.623889624474	28.623889624474	0	0.016	-1.79588001734408	0.016	0	63.5	
	C04	FAM		Unkn	573		NaN	0	0	NaN	NaN	0	0	63.5	
	C05	FAM		Unkn	573		37.6122641167935	37.6122641167935	0	3.06265568421176E-05	-4.51390182554151	3.06265568421176E-05	0	63.5	
	C06	FAM		Unkn	573		35.5292091392364	35.5292091392364	0	0.0001297268487119	-3.88697013154338	0.0001297268487119	0	63.5	
	C07	FAM		Unkn	574		35.8128979768223	35.8128979768223	0	0.00010657338726021	-3.97235123066573	0.00010657338726021	0	63.5	
