		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
A	Sample	salalp_std0	salalp_std0	salalp_std0	567	567	567	568	568	568	589	589	589
A	Cq	22.0737081664148	21.5228949266315	21.9630298894863	NaN	NaN	NaN	NaN	NaN	36.4914280089572	33.3234299351058	35.3133171199739	34.6410816658665
A	copy number	1.6	1.6	1.6	NaN	NaN	NaN	NaN	NaN	6.65937286814086E-05	0.000598270456132534	0.000150662903854107	0.000240064149023514
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
B	Sample	salalp_std1	salalp_std1	salalp_std1	570	570	570	571	571	571	590	590	590
B	Cq	25.215036948021	25.1408674662129	25.5569879705431	35.4667799533787	36.5481135186204	34.0377957193912	37.6493887383425	36.8418833009606	NaN	34.73753627311	34.2853266252805	34.271655335991
B	copy number	0.16	0.16	0.16	0.000135462479236289	6.40284281648672E-05	0.000364667219735577	2.98486623108843E-05	5.22345316848889E-05	NaN	0.000224542013599352	0.00030718357219801	0.000310107735163575
C	Content	Std	Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
C	Sample	salalp_std2	salalp_std2		573	573	573	574	574	574	592	592	592
C	Cq	28.6921485680043	28.623889624474		NaN	37.6122641167935	35.5292091392364	35.8128979768223	37.243560194381	NaN	37.8891283927306	NaN	NaN
C	copy number	0.016	0.016		NaN	3.06265568421176E-05	0.0001297268487119	0.00010657338726021	3.95426749532438E-05	NaN	2.52796493770175E-05	NaN	NaN
D	Content	Std	Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
D	Sample	salalp_std3	salalp_std3		576	576	576	577	577	577	593	593	593
D	Cq	32.2701743044205	31.8148380911193		37.4108487913538	37.3673147771422	34.3945973770212	NaN	35.0742966639324	34.7265837055321	NaN	37.2557262584458	37.0400102944743
D	copy number	0.0016	0.0016		3.52141837786347E-05	3.62927558080099E-05	0.000284781025505299	NaN	0.000177804891734651	0.000226252808558995	NaN	3.92106873875895E-05	4.55331749694484E-05
E	Content			Std	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl			
E	Sample			salalp_std4	nc_ext	nc_ext	nc_ext	nc_plt	nc_plt	nc_plt			
E	Cq			34.9077844581745	NaN	NaN	NaN	NaN	NaN	NaN			
E	copy number			0.00016	NaN	NaN	NaN	NaN	NaN	NaN			
F	Content		Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
F	Sample		salalp_std5		579	579	579	580	580	580			
F	Cq		NaN		31.5879076756832	31.7506024021393	32.5533883354333	35.6296434205571	34.1481521004453	37.3485512250712			
F	copy number		1.6E-05		0.00199174265138078	0.00177937469689133	0.00102012876765386	0.000121004750733465	0.000337818205058826	3.67677593567117E-05			
G	Content				Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
G	Sample				582	582	582	583	583	583			
G	Cq				35.4761629422253	NaN	35.4054934154802	NaN	NaN	36.7390171263261			
G	copy number				0.000134584500131502	NaN	0.000141339734553718	NaN	NaN	5.6094085625701E-05			
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
H	Sample	nc_mm	nc_mm	nc_mm	586	586	586	587	587	587			
H	Cq	NaN	NaN	NaN	21.0296423242616	21.4241264412413	21.3126496942011	24.9373069895048	24.8906562272331	25.026628127221			
H	copy number	NaN	NaN	NaN	2.99865957671285	2.28139400550724	2.46462679446265	0.199915925013953	0.206484639875628	0.187916380106643			
