	Well	Fluor	Target	Content	Sample	Cq	SQ
	A04	FAM		Unkn	567	NaN	NaN
	A05	FAM		Unkn	567	NaN	NaN
	A06	FAM		Unkn	567	39.5894446730562	3.05631803226949E-05
	A07	FAM		Unkn	568	38.6655600436903	5.80403946361934E-05
	A08	FAM		Unkn	568	NaN	NaN
	A09	FAM		Unkn	568	NaN	NaN
	A10	FAM		Neg Ctrl	595	NaN	NaN
	B01	FAM		Std	salalp_std1	27.3625159195871	0.16
	B02	FAM		Std	salalp_std1	27.264913013968	0.16
	B03	FAM		Std	salalp_std1	27.1389622827155	0.16
	B04	FAM		Unkn	570	34.8625630167507	0.000813306217136348
	B05	FAM		Unkn	570	35.5293164584975	0.0005119669573123
	B06	FAM		Unkn	570	37.0278519683216	0.00018091098878298
	B07	FAM		Unkn	571	37.1020421624119	0.000171829672316024
	B08	FAM		Unkn	571	38.1462679313292	8.32311744209862E-05
	B09	FAM		Unkn	571	36.6067804624696	0.000242331105335597
	C01	FAM		Std	salalp_std2	30.7500580181038	0.016
	C02	FAM		Std	salalp_std2	30.6928496931925	0.016
	C03	FAM		Std	salalp_std2	30.6205748342173	0.016
	C04	FAM		Unkn	573	36.731880204763	0.000222174503447728
	C05	FAM		Unkn	573	38.1918070065147	8.06411937181067E-05
	C06	FAM		Unkn	573	NaN	NaN
	C07	FAM		Unkn	574	36.4885165826553	0.000263065102331406
	C08	FAM		Unkn	574	36.6372301884864	0.000237262559083781
	C09	FAM		Unkn	574	38.6891523079285	5.70975908875023E-05
	D01	FAM		Std	salalp_std3	33.6956878491343	0.0016
	D02	FAM		Std	salalp_std3	33.5810132047148	0.0016
	D03	FAM		Std	salalp_std3	33.6703048756761	0.0016
	D04	FAM		Unkn	576	36.4954880749824	0.000261795080196152
	D05	FAM		Unkn	576	36.1856562312241	0.000324615516261441
	D06	FAM		Unkn	576	NaN	NaN
	D07	FAM		Unkn	577	38.7009090640851	5.66334957205305E-05
	D08	FAM		Unkn	577	38.5705604708447	6.19970082856383E-05
	D09	FAM		Unkn	577	38.2247819950126	7.88162343400651E-05
	E03	FAM		Std	salalp_std4	37.5654307280992	0.00016
	E04	FAM		Neg Ctrl	585	NaN	NaN
	E05	FAM		Neg Ctrl	585	NaN	NaN
	E06	FAM		Neg Ctrl	595	NaN	NaN
	E07	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E08	FAM		Neg Ctrl	nc_plt	NaN	NaN
	E09	FAM		Neg Ctrl	nc_plt	NaN	NaN
	F02	FAM		Std	salalp_std5	NaN	1.6E-05
	F04	FAM		Unkn	579	33.591083589454	0.00196597701809469
	F05	FAM		Unkn	579	33.1838155084258	0.00260832203293412
	F06	FAM		Unkn	579	33.789328035269	0.00171321512427099
	F07	FAM		Unkn	580	NaN	NaN
	F08	FAM		Unkn	580	35.1069548008693	0.000686396565575615
	F09	FAM		Unkn	580	35.418228818041	0.000553009411929258
	G01	FAM		Std	salalp_std6	NaN	1.6E-06
	G02	FAM		Std	salalp_std6	NaN	1.6E-06
	G03	FAM		Std	salalp_std6	NaN	1.6E-06
	G04	FAM		Unkn	582	36.0663845395546	0.00035263643712718
	G05	FAM		Unkn	582	38.1842360639717	8.10661276295292E-05
	G06	FAM		Unkn	582	39.5403555116044	3.16226233293271E-05
	G07	FAM		Unkn	583	38.7060603883008	5.64313387456546E-05
	G08	FAM		Unkn	583	NaN	NaN
	G09	FAM		Unkn	583	38.8489710565237	5.11017517913521E-05
	H01	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H02	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H03	FAM		Neg Ctrl	nc_mm	NaN	NaN
	H04	FAM		Unkn	592	38.8429298802858	5.13165056661853E-05
	H05	FAM		Unkn	592	NaN	NaN
	H06	FAM		Neg Ctrl	nc_plt	NaN	NaN
	H07	FAM		Unkn	593	NaN	NaN
	H08	FAM		Unkn	593	38.8334007572873	5.16570863150094E-05
	H09	FAM		Neg Ctrl	nc_plt	NaN	NaN
