	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	FAM		Std	salsal_std0		20.5069709972306	20.5069709972306	0	5.4	0.732393759822969	5.4	0	60	
	A02	FAM		Std	salsal_std0		20.4720410734472	20.4720410734472	0	5.4	0.732393759822969	5.4	0	60	
	A04	FAM		Unkn	569		32.030921340038	32.030921340038	0	0.00207627325684152	-2.68271548987523	0.00207627325684152	0	60	
	A05	FAM		Unkn	569		31.8911053305536	31.8911053305536	0	0.00228754706685616	-2.64062996145141	0.00228754706685616	0	60	
	A06	FAM		Unkn	569		32.0747238277522	32.0747238277522	0	0.00201418647943583	-2.69590032363302	0.00201418647943583	0	60	
	A07	FAM		Unkn	594		NaN	0	0	NaN	NaN	0	0	60	
	A08	FAM		Unkn	594		NaN	0	0	NaN	NaN	0	0	60	
	A09	FAM		Unkn	594		NaN	0	0	NaN	NaN	0	0	60	
	B01	FAM		Std	salsal_std1		24.0831225415606	24.0831225415606	0	0.54	-0.267606240177031	0.54	0	60	
	B02	FAM		Std	salsal_std1		24.0285776682379	24.0285776682379	0	0.54	-0.267606240177031	0.54	0	60	
	B03	FAM		Std	salsal_std1		24.0578679872228	24.0578679872228	0	0.54	-0.267606240177031	0.54	0	60	
	B04	FAM		Unkn	572		29.4127370463848	29.4127370463848	0	0.0127460323098688	-1.89462498496333	0.0127460323098688	0	60	
	B05	FAM		Unkn	572		29.1905035106365	29.1905035106365	0	0.0148685547039302	-1.82773124496923	0.0148685547039302	0	60	
	B06	FAM		Unkn	572		29.7699137937159	29.7699137937159	0	0.00995090294658166	-2.002137509513	0.00995090294658166	0	60	
	B07	FAM		Neg Ctrl	nc_plt		NaN	0	0	NaN	NaN	0	0	60	
	B08	FAM		Neg Ctrl	nc_plt		NaN	0	0	NaN	NaN	0	0	60	
	B09	FAM		Neg Ctrl	nc_plt		NaN	0	0	NaN	NaN	0	0	60	
	C01	FAM		Std	salsal_std2		27.9341538277201	27.9341538277201	0	0.054	-1.26760624017703	0.054	0	60	
	C04	FAM		Unkn	575		29.7667358904303	29.7667358904303	0	0.00997284478990349	-2.00118093995029	0.00997284478990349	0	60	
	C05	FAM		Unkn	575		29.6940062076013	29.6940062076013	0	0.0104884465108081	-1.97928883227789	0.0104884465108081	0	60	
	C06	FAM		Unkn	575		30.042793497708	30.042793497708	0	0.00823614387097303	-2.08427607562565	0.00823614387097303	0	60	
	D03	FAM		Std	salsal_std3		30.5677097315163	30.5677097315163	0	0.0054	-2.26760624017703	0.0054	0	60	
	D04	FAM		Unkn	578		31.0617730813055	31.0617730813055	0	0.00406447485170744	-2.39099555923074	0.00406447485170744	0	60	
	D05	FAM		Unkn	578		31.0328382381521	31.0328382381521	0	0.00414680885066857	-2.38228598320679	0.00414680885066857	0	60	
	D06	FAM		Unkn	578		31.3023001433185	31.3023001433185	0	0.0034403626992916	-2.46339576963851	0.0034403626992916	0	60	
	E01	FAM		Std	salsal_std4		33.6981133491016	33.6981133491016	0	0.00054	-3.26760624017703	0.00054	0	60	
	E04	FAM		Unkn	581		31.872534440145	31.872534440145	0	0.00231718120585118	-2.63504000262604	0.00231718120585118	0	60	
	E05	FAM		Unkn	581		32.5536671862206	32.5536671862206	0	0.00144522215204231	-2.84006539028419	0.00144522215204231	0	60	
	E06	FAM		Unkn	581		33.9260843241099	33.9260843241099	0	0.00055824921749918	-3.25317187700892	0.00055824921749918	0	60	
	F01	FAM		Std	salsal_std5		NaN	0	0	5.4E-05	-4.26760624017703	0	0	60	
	F02	FAM		Std	salsal_std5		NaN	0	0	5.4E-05	-4.26760624017703	0	0	60	
	F03	FAM		Std	salsal_std5		NaN	0	0	5.4E-05	-4.26760624017703	0	0	60	
	F04	FAM		Unkn	584		34.4035957080944	34.4035957080944	0	0.000400953574880056	-3.39690591002477	0.000400953574880056	0	60	
	F05	FAM		Unkn	584		35.0433571921573	35.0433571921573	0	0.000257348547458078	-3.58947827867754	0.000257348547458078	0	60	
	F06	FAM		Unkn	584		33.2789483687332	33.2789483687332	0	0.000874219029003256	-3.05837974451627	0.000874219029003256	0	60	
	G01	FAM		Neg Ctrl	nc_ext		NaN	0	0	NaN	NaN	0	0	60	
	G02	FAM		Neg Ctrl	nc_ext		NaN	0	0	NaN	NaN	0	0	60	
	G03	FAM		Neg Ctrl	nc_ext		NaN	0	0	NaN	NaN	0	0	60	
	G04	FAM		Unkn	588		35.8831213999778	35.8831213999778	0	0.00014379614116296	-3.84225276829333	0.00014379614116296	0	60	
	G05	FAM		Unkn	588		NaN	0	0	NaN	NaN	0	0	60	
	G06	FAM		Unkn	588		38.5729432912858	38.5729432912858	0	2.22891416319447E-05	-4.65190665613564	2.22891416319447E-05	0	60	
	H01	FAM		Neg Ctrl	nc_mm		NaN	0	0	NaN	NaN	0	0	60	
	H02	FAM		Neg Ctrl	nc_mm		NaN	0	0	NaN	NaN	0	0	60	
	H03	FAM		Neg Ctrl	nc_mm		NaN	0	0	NaN	NaN	0	0	60	
	H04	FAM		Unkn	591		NaN	0	0	NaN	NaN	0	0	60	
	H05	FAM		Unkn	591		NaN	0	0	NaN	NaN	0	0	60	
	H06	FAM		Unkn	591		NaN	0	0	NaN	NaN	0	0	60	
