		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
A	Sample	salsal_std0	salsal_std0		569	569	569	594	594	594			
A	Cq	20.5069709972306	20.4720410734472		32.030921340038	31.8911053305536	32.0747238277522	NaN	NaN	NaN			
A	copy number	5.4	5.4		0.00207627325684152	0.00228754706685616	0.00201418647943583	NaN	NaN	NaN			
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Neg Ctrl			
B	Sample	salsal_std1	salsal_std1	salsal_std1	572	572	572	nc_plt	nc_plt	nc_plt			
B	Cq	24.0831225415606	24.0285776682379	24.0578679872228	29.4127370463848	29.1905035106365	29.7699137937159	NaN	NaN	NaN			
B	copy number	0.54	0.54	0.54	0.0127460323098688	0.0148685547039302	0.00995090294658166	NaN	NaN	NaN			
C	Content	Std			Unkn	Unkn	Unkn						
C	Sample	salsal_std2			575	575	575						
C	Cq	27.9341538277201			29.7667358904303	29.6940062076013	30.042793497708						
C	copy number	0.054			0.00997284478990349	0.0104884465108081	0.00823614387097303						
D	Content			Std	Unkn	Unkn	Unkn						
D	Sample			salsal_std3	578	578	578						
D	Cq			30.5677097315163	31.0617730813055	31.0328382381521	31.3023001433185						
D	copy number			0.0054	0.00406447485170744	0.00414680885066857	0.0034403626992916						
E	Content	Std			Unkn	Unkn	Unkn						
E	Sample	salsal_std4			581	581	581						
E	Cq	33.6981133491016			31.872534440145	32.5536671862206	33.9260843241099						
E	copy number	0.00054			0.00231718120585118	0.00144522215204231	0.00055824921749918						
F	Content	Std	Std	Std	Unkn	Unkn	Unkn						
F	Sample	salsal_std5	salsal_std5	salsal_std5	584	584	584						
F	Cq	NaN	NaN	NaN	34.4035957080944	35.0433571921573	33.2789483687332						
F	copy number	5.4E-05	5.4E-05	5.4E-05	0.000400953574880056	0.000257348547458078	0.000874219029003256						
G	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn						
G	Sample	nc_ext	nc_ext	nc_ext	588	588	588						
G	Cq	NaN	NaN	NaN	35.8831213999778	NaN	38.5729432912858						
G	copy number	NaN	NaN	NaN	0.00014379614116296	NaN	2.22891416319447E-05						
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn						
H	Sample	nc_mm	nc_mm	nc_mm	591	591	591						
H	Cq	NaN	NaN	NaN	NaN	NaN	NaN						
H	copy number	NaN	NaN	NaN	NaN	NaN	NaN						
