		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn		
A	Sample	saltru_std0	saltru_std0		567	567	569	569	569	589	589		
A	Cq	21.2861275472846	21.2613350440964		33.7407121019807	33.2437222015376	34.6026127385882	34.6004542433108	33.5315789355973	NaN	NaN		
A	copy number	3.8	3.8		0.000646680185937635	0.000912455556401162	0.000355944241862209	0.000356476879088975	0.000747495231564813	NaN	NaN		
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	
B	Sample	saltru_std1	saltru_std1	saltru_std1	570	570	572	572	572	591	591	591	
B	Cq	24.5237551964762	24.283529213495	24.3927439429032	32.7562391909306	32.3345179559557	32.337827770933	32.0289150942414	32.1142400247126	NaN	34.7216946036206	36.8236686161584	
B	copy number	0.38	0.38	0.38	0.00127900924984193	0.00171297433403591	0.00170905122405117	0.00211686503862682	0.0019953665714028	NaN	0.000327759684367155	7.64126045168201E-05	
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn		
C	Sample	saltru_std2	saltru_std2	saltru_std2	573	573	575	575	575	592	592		
C	Cq	27.9886636892151	27.9941103487508	28.0010899600709	31.4305135097183	31.2471627425401	31.9946160257882	32.1518766956262	32.2801675095158	NaN	NaN		
C	copy number	0.038	0.038	0.038	0.00320424417223802	0.00363820944907772	0.00216776517521798	0.00194401446076432	0.00177869911450626	NaN	NaN		
D	Content			Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	
D	Sample			saltru_std3	576	576	578	578	578	594	594	594	
D	Cq			31.121860490855	30.1890855379955	30.3528131332656	33.7437934318588	33.2563529215914	33.5135827098936	NaN	NaN	NaN	
D	copy number			0.0038	0.00757209559004699	0.00676017180719531	0.000645301269278476	0.000904506512269552	0.0007568724386376	NaN	NaN	NaN	
E	Content	Std			Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl
E	Sample	saltru_std4			585	585	585	nc_plt	nc_plt	nc_plt	595	595	595
E	Cq	34.4563789521981			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E	copy number	0.00038			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
F	Content				Unkn	Unkn	Unkn	Unkn	Unkn				
F	Sample				579	579	581	581	581				
F	Cq				33.3053293563896	32.4336043387267	33.4168817867779	34.2133030254444	34.3244529980252				
F	copy number				0.00087433299180244	0.00159933767733054	0.000809311477225565	0.000466130967467805	0.000431586519462491				
G	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn				
G	Sample	nc_ext	nc_ext	nc_ext	582	582	584	584	584				
G	Cq	NaN	NaN	NaN	33.120570179289	32.4892240434508	35.317128003367	34.0928449933275	33.4114405458145				
G	copy number	NaN	NaN	NaN	0.000993716928935749	0.00153888679176277	0.000216978196353109	0.000506697104787783	0.000812367848668036				
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn				
H	Sample	nc_mm	nc_mm	nc_mm	586	586	588	588	588				
H	Cq	NaN	NaN	NaN	40.8936531842499	33.2318142154195	34.2802549646956	35.6588717659693	33.4446226422561				
H	copy number	NaN	NaN	NaN	4.5570898498713E-06	0.000920013719633739	0.000445005208712457	0.000171238174755609	0.000793907142713432				
