	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A01	FAM		Std	salalp_std0		23.3132998224078	23.3132998224078	0	1.6	0.204119982655925	1.6	0	63.5	
	A02	FAM		Std	salalp_std0		23.1573042464885	23.1573042464885	0	1.6	0.204119982655925	1.6	0	63.5	
	A03	FAM		Std	salalp_std0		23.2660858281903	23.2660858281903	0	1.6	0.204119982655925	1.6	0	63.5	
	A04	FAM		Unkn	569		37.4868933604658	37.4868933604658	0	0.000109617157150665	-3.96012146526134	0.000109617157150665	0	63.5	
	A05	FAM		Unkn	569		NaN	0	0	NaN	NaN	0	0	63.5	
	A06	FAM		Unkn	569		NaN	0	0	NaN	NaN	0	0	63.5	
	A07	FAM		Unkn	569		NaN	0	0	NaN	NaN	0	0	63.5	
	A08	FAM		Unkn	569		38.9055468173668	38.9055468173668	0	4.10147993149451E-05	-4.38705940910692	4.10147993149451E-05	0	63.5	
	A09	FAM		Unkn	569		NaN	0	0	NaN	NaN	0	0	63.5	
	A10	FAM		Unkn	594		37.4431339002066	37.4431339002066	0	0.000112992017973599	-3.94695223503393	0.000112992017973599	0	63.5	
	A11	FAM		Unkn	594		37.3212559512148	37.3212559512148	0	0.000122949405811909	-3.91027356577221	0.000122949405811909	0	63.5	
	A12	FAM		Unkn	594		37.731185301076	37.731185301076	0	9.25464738939303E-05	-4.03364012361644	9.25464738939303E-05	0	63.5	
	B01	FAM		Std	salalp_std1		27.2762253181442	27.2762253181442	0	0.16	-0.795880017344075	0.16	0	63.5	
	B02	FAM		Std	salalp_std1		27.1329820699964	27.1329820699964	0	0.16	-0.795880017344075	0.16	0	63.5	
	B03	FAM		Std	salalp_std1		27.2155385041687	27.2155385041687	0	0.16	-0.795880017344075	0.16	0	63.5	
	B04	FAM		Unkn	572		37.0043335354416	37.0043335354416	0	0.000153145040285435	-3.81489706357531	0.000153145040285435	0	63.5	
	B05	FAM		Unkn	572		37.0428053420738	37.0428053420738	0	0.000149116260454418	-3.82647499611385	0.000149116260454418	0	63.5	
	B06	FAM		Unkn	572		36.4949838728786	36.4949838728786	0	0.000217966439454239	-3.66161037007362	0.000217966439454239	0	63.5	
	B07	FAM		Unkn	572		36.638843543016	36.638843543016	0	0.000197285720285805	-3.70490434822734	0.000197285720285805	0	63.5	
	B08	FAM		Unkn	572		NaN	0	0	NaN	NaN	0	0	63.5	
	B09	FAM		Unkn	572		37.1386204408776	37.1386204408776	0	0.000139537148124667	-3.85531015742379	0.000139537148124667	0	63.5	
	B10	FAM		Unkn	594		38.0089918509047	38.0089918509047	0	7.63405234942451E-05	-4.11724486626428	7.63405234942451E-05	0	63.5	
	B11	FAM		Unkn	594		37.2236529690014	37.2236529690014	0	0.000131552665379854	-3.88090034827736	0.000131552665379854	0	63.5	
	B12	FAM		Unkn	594		38.3501056877831	38.3501056877831	0	6.02696018551015E-05	-4.21990167750012	6.02696018551015E-05	0	63.5	
	C01	FAM		Std	salalp_std2		30.9235437880732	30.9235437880732	0	0.016	-1.79588001734408	0.016	0	63.5	
	C02	FAM		Std	salalp_std2		30.4993955395493	30.4993955395493	0	0.016	-1.79588001734408	0.016	0	63.5	
	C03	FAM		Std	salalp_std2		30.7637269869511	30.7637269869511	0	0.016	-1.79588001734408	0.016	0	63.5	
	C04	FAM		Unkn	575		NaN	0	0	NaN	NaN	0	0	63.5	
	C05	FAM		Unkn	575		38.6474173788227	38.6474173788227	0	4.90482579969496E-05	-4.30937641245828	4.90482579969496E-05	0	63.5	
	C06	FAM		Unkn	575		37.8127659870819	37.8127659870819	0	8.74598047100086E-05	-4.05819149673116	8.74598047100086E-05	0	63.5	
	C07	FAM		Unkn	575		36.4005140359396	36.4005140359396	0	0.000232712622403937	-3.63318005980864	0.000232712622403937	0	63.5	
	C08	FAM		Unkn	575		37.4334284877768	37.4334284877768	0	0.000113754495597384	-3.94403143093849	0.000113754495597384	0	63.5	
	C09	FAM		Unkn	575		37.1907381492427	37.1907381492427	0	0.000134587656739231	-3.87099476816441	0.000134587656739231	0	63.5	
	C10	FAM		Unkn	591		34.7375150216749	34.7375150216749	0	0.000736703406681125	-3.13270732186577	0.000736703406681125	0	63.5	
	C11	FAM		Unkn	591		34.5764285944907	34.5764285944907	0	0.000823703626833404	-3.08422902177853	0.000823703626833404	0	63.5	
	C12	FAM		Unkn	591		34.4570979205212	34.4570979205212	0	0.00089471157417759	-3.04831694449536	0.00089471157417759	0	63.5	
	D01	FAM		Std	salalp_std3		34.0009799268408	34.0009799268408	0	0.0016	-2.79588001734408	0.0016	0	63.5	
