		1	2	3	4	5	6	7	8	9	10	11	12
A	Content				Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Neg Ctrl		
A	Sample				567	567	567	568	568	568	595		
A	Peak 1												
A	Peak 2												
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
B	Sample	salalp_std1	salalp_std1	salalp_std1	570	570	570	571	571	571			
B	Peak 1												
B	Peak 2												
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
C	Sample	salalp_std2	salalp_std2	salalp_std2	573	573	573	574	574	574			
C	Peak 1												
C	Peak 2												
D	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
D	Sample	salalp_std3	salalp_std3	salalp_std3	576	576	576	577	577	577			
D	Peak 1												
D	Peak 2												
E	Content			Std	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl			
E	Sample			salalp_std4	585	585	595	nc_plt	nc_plt	nc_plt			
E	Peak 1												
E	Peak 2												
F	Content		Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
F	Sample		salalp_std5		579	579	579	580	580	580			
F	Peak 1												
F	Peak 2												
G	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
G	Sample	salalp_std6	salalp_std6	salalp_std6	582	582	582	583	583	583			
G	Peak 1												
G	Peak 2												
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Neg Ctrl	Unkn	Unkn	Neg Ctrl			
H	Sample	nc_mm	nc_mm	nc_mm	592	592	nc_plt	593	593	nc_plt			
H	Peak 1												
H	Peak 2												
