	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	A04	FAM		Unkn	567		NaN	0	0	NaN	NaN	0	0	63.5	
	A05	FAM		Unkn	567		NaN	0	0	NaN	NaN	0	0	63.5	
	A06	FAM		Unkn	567		39.5894446730562	39.5894446730562	0	3.05631803226949E-05	-4.5148014562242	3.05631803226949E-05	0	63.5	
	A07	FAM		Unkn	568		38.6655600436903	38.6655600436903	0	5.80403946361934E-05	-4.23626964330979	5.80403946361934E-05	0	63.5	
	A08	FAM		Unkn	568		NaN	0	0	NaN	NaN	0	0	63.5	
	A09	FAM		Unkn	568		NaN	0	0	NaN	NaN	0	0	63.5	
	A10	FAM		Neg Ctrl	595		NaN	0	0	NaN	NaN	0	0	63.5	
	B01	FAM		Std	salalp_std1		27.3625159195871	27.3625159195871	0	0.16	-0.795880017344075	0.16	0	63.5	
	B02	FAM		Std	salalp_std1		27.264913013968	27.264913013968	0	0.16	-0.795880017344075	0.16	0	63.5	
	B03	FAM		Std	salalp_std1		27.1389622827155	27.1389622827155	0	0.16	-0.795880017344075	0.16	0	63.5	
	B04	FAM		Unkn	570		34.8625630167507	34.8625630167507	0	0.000813306217136348	-3.08974590782073	0.000813306217136348	0	63.5	
	B05	FAM		Unkn	570		35.5293164584975	35.5293164584975	0	0.0005119669573123	-3.29075806777419	0.0005119669573123	0	63.5	
	B06	FAM		Unkn	570		37.0278519683216	37.0278519683216	0	0.00018091098878298	-3.74253505269315	0.00018091098878298	0	63.5	
	B07	FAM		Unkn	571		37.1020421624119	37.1020421624119	0	0.000171829672316024	-3.76490183811596	0.000171829672316024	0	63.5	
	B08	FAM		Unkn	571		38.1462679313292	38.1462679313292	0	8.32311744209862E-05	-4.07971397727676	8.32311744209862E-05	0	63.5	
	B09	FAM		Unkn	571		36.6067804624696	36.6067804624696	0	0.000242331105335597	-3.61559083675569	0.000242331105335597	0	63.5	
	C01	FAM		Std	salalp_std2		30.7500580181038	30.7500580181038	0	0.016	-1.79588001734408	0.016	0	63.5	
	C02	FAM		Std	salalp_std2		30.6928496931925	30.6928496931925	0	0.016	-1.79588001734408	0.016	0	63.5	
	C03	FAM		Std	salalp_std2		30.6205748342173	30.6205748342173	0	0.016	-1.79588001734408	0.016	0	63.5	
	C04	FAM		Unkn	573		36.731880204763	36.731880204763	0	0.000222174503447728	-3.65330578179164	0.000222174503447728	0	63.5	
	C05	FAM		Unkn	573		38.1918070065147	38.1918070065147	0	8.06411937181067E-05	-4.09344305206237	8.06411937181067E-05	0	63.5	
	C06	FAM		Unkn	573		NaN	0	0	NaN	NaN	0	0	63.5	
