		1	2	3	4	5	6	7	8	9	10	11	12
A	Content				Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Neg Ctrl		
A	Sample				567	567	567	568	568	568	595		
A	Cq				NaN	NaN	39.5894446730562	38.6655600436903	NaN	NaN	NaN		
A	copy number				NaN	NaN	3.05631803226949E-05	5.80403946361934E-05	NaN	NaN	NaN		
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
B	Sample	salalp_std1	salalp_std1	salalp_std1	570	570	570	571	571	571			
B	Cq	27.3625159195871	27.264913013968	27.1389622827155	34.8625630167507	35.5293164584975	37.0278519683216	37.1020421624119	38.1462679313292	36.6067804624696			
B	copy number	0.16	0.16	0.16	0.000813306217136348	0.0005119669573123	0.00018091098878298	0.000171829672316024	8.32311744209862E-05	0.000242331105335597			
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
C	Sample	salalp_std2	salalp_std2	salalp_std2	573	573	573	574	574	574			
C	Cq	30.7500580181038	30.6928496931925	30.6205748342173	36.731880204763	38.1918070065147	NaN	36.4885165826553	36.6372301884864	38.6891523079285			
C	copy number	0.016	0.016	0.016	0.000222174503447728	8.06411937181067E-05	NaN	0.000263065102331406	0.000237262559083781	5.70975908875023E-05			
D	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
D	Sample	salalp_std3	salalp_std3	salalp_std3	576	576	576	577	577	577			
D	Cq	33.6956878491343	33.5810132047148	33.6703048756761	36.4954880749824	36.1856562312241	NaN	38.7009090640851	38.5705604708447	38.2247819950126			
D	copy number	0.0016	0.0016	0.0016	0.000261795080196152	0.000324615516261441	NaN	5.66334957205305E-05	6.19970082856383E-05	7.88162343400651E-05			
E	Content			Std	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl			
E	Sample			salalp_std4	585	585	595	nc_plt	nc_plt	nc_plt			
E	Cq			37.5654307280992	NaN	NaN	NaN	NaN	NaN	NaN			
E	copy number			0.00016	NaN	NaN	NaN	NaN	NaN	NaN			
F	Content		Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
F	Sample		salalp_std5		579	579	579	580	580	580			
F	Cq		NaN		33.591083589454	33.1838155084258	33.789328035269	NaN	35.1069548008693	35.418228818041			
F	copy number		1.6E-05		0.00196597701809469	0.00260832203293412	0.00171321512427099	NaN	0.000686396565575615	0.000553009411929258			
G	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
G	Sample	salalp_std6	salalp_std6	salalp_std6	582	582	582	583	583	583			
G	Cq	NaN	NaN	NaN	36.0663845395546	38.1842360639717	39.5403555116044	38.7060603883008	NaN	38.8489710565237			
G	copy number	1.6E-06	1.6E-06	1.6E-06	0.00035263643712718	8.10661276295292E-05	3.16226233293271E-05	5.64313387456546E-05	NaN	5.11017517913521E-05			
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Neg Ctrl	Unkn	Unkn	Neg Ctrl			
H	Sample	nc_mm	nc_mm	nc_mm	592	592	nc_plt	593	593	nc_plt			
H	Cq	NaN	NaN	NaN	38.8429298802858	NaN	NaN	NaN	38.8334007572873	NaN			
H	copy number	NaN	NaN	NaN	5.13165056661853E-05	NaN	NaN	NaN	5.16570863150094E-05	NaN			
