		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
A	Sample	salsal_std0	salsal_std0	salsal_std0	567	567	567	568	568	568	589	589	589
A	Cq	22.053556266846	22.0288308201571	21.9930677711554	32.6542572220854	32.3342792519563	32.3024306676764	32.609896938176	32.8957527250131	32.5984030987494	NaN	NaN	NaN
A	copy number	5.4	5.4	5.4	0.00351183369730906	0.00438399081269921	0.00448185994764867	0.00362150827737897	0.00297048214594714	0.00365047963311141	NaN	NaN	NaN
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
B	Sample	salsal_std1	salsal_std1	salsal_std1	570	570	570	571	571	571	590	590	590
B	Cq	25.3201110838876	25.292525805323	25.3168620587764	31.5073021906569	31.2985173597721	31.3242291896632	32.2067203796485	31.6755220239564	31.813842859839	NaN	NaN	NaN
B	copy number	0.54	0.54	0.54	0.00777763267618735	0.00898889338055504	0.00883009090237728	0.00478931889781337	0.00692152069811421	0.00628864819618981	NaN	NaN	NaN
C	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
C	Sample	salsal_std2	salsal_std2	salsal_std2	573	573	573	574	574	574	592	592	592
C	Cq	28.6804775962995	28.7930847694293	28.8325263813411	30.7352002717724	30.841491843937	31.3069094719548	31.4190986424173	31.4396975447968	31.1996925614443	NaN	NaN	NaN
C	copy number	0.054	0.054	0.054	0.0132832386348057	0.012339648697372	0.00893675018355531	0.00826804535369011	0.00815081701655184	0.00962629991655122	NaN	NaN	NaN
D	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
D	Sample	salsal_std3	salsal_std3	salsal_std3	576	576	576	577	577	577	593	593	593
D	Cq	32.2410379838362	32.3267380425807	32.3377744095214	30.6245194707794	30.4111849771537	30.5415767537424	32.5054555397959	32.8793804366632	32.6450411616195	NaN	NaN	NaN
D	copy number	0.0054	0.0054	0.0054	0.0143425581079217	0.0166285807914716	0.015191412718192	0.00389344128649357	0.00300438889103428	0.00353434238486654	NaN	NaN	NaN
E	Content	Std	Std	Std	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl	Neg Ctrl
E	Sample	salsal_std4	salsal_std4	salsal_std4	585	585	585	nc_plt	nc_plt	nc_plt	595	595	595
E	Cq	35.6017851835061	34.6571320063153	35.3169479262039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
E	copy number	0.00054	0.00054	0.00054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
F	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
F	Sample	salsal_std5	salsal_std5	salsal_std5	579	579	579	580	580	580			
F	Cq	NaN	NaN	38.5658512679731	33.7975447478112	32.8969908366857	33.7426314514922	33.7416152425405	33.9354198551305	33.519190536522			
F	copy number	5.4E-05	5.4E-05	5.4E-05	0.00158973461324634	0.00296793365416736	0.00165141932971524	0.00165258312395194	0.00144482285681588	0.00192809606535075			
G	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
G	Sample	nc_ext	nc_ext	nc_ext	582	582	582	583	583	583			
G	Cq	NaN	NaN	NaN	36.0474670388058	35.2094090539144	36.0750410127233	35.8070614137113	36.0431602751678	36.2137073853955			
G	copy number	NaN	NaN	NaN	0.000334149676746352	0.000597385902220916	0.000327822950966254	0.000394747975520765	0.00033514880997053	0.000297776967300372			
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn			
H	Sample	nc_mm	nc_mm	nc_mm	586	586	586	587	587	587			
H	Cq	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
H	copy number	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			
