		1	2	3	4	5	6	7	8	9	10	11	12
A	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
A	Sample	salsal_std1	salsal_std1	salsal_std1				567		568	568	569	569
A	Cq	24.4142482759161	24.2649553913537	24.2201537824468	NaN	NaN	NaN	31.6444235656451	NaN	31.5216726201449	32.2823571560558	32.3946200760394	33.926784023688
A		0.54	0.54	0.54	NaN	NaN	NaN	0.00347360648355505	NaN	0.00378303907033099	0.00222935707044386	0.00206198691082425	0.000710729588873403
B	Content	Std	Std	Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
B	Sample	salsal_std2	salsal_std2	salsal_std2				570		571	571	572	572
B	Cq	27.8308729809777	27.7399414580467	27.9609252020863	NaN	NaN	NaN	30.6039792637337	NaN	30.9517220574905	30.9097783046344	29.9664975189101	30.4326151485892
B		0.054	0.054	0.054	NaN	NaN	NaN	0.00715987031228057	NaN	0.00562233594789785	0.00578868865783337	0.0111524355040981	0.00806570538908205
C	Content	Std	Std		Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
C	Sample	salsal_std3	salsal_std3					573	573	574	574	575	575
C	Cq	30.9193272123169	30.9921968345932		NaN	NaN	NaN	30.0481890317519	30.3010946897973	30.4702975872866	30.3274154254411	30.3965269262429	30.4504508803691
C		0.0054	0.0054		NaN	NaN	NaN	0.0105367317003728	0.0088379227687868	0.00785715833180105	0.00867767953383172	0.00827061659921061	0.00796631546488984
D	Content			Std	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
D	Sample			salsal_std4				576	576	577	577	578	578
D	Cq			34.2476104256664	NaN	NaN	NaN	29.6697989856881	29.6856459108855	31.8270119634835	31.6891861474091	33.3865695557509	32.1864161978078
D				0.00054	NaN	NaN	NaN	0.0137071484157531	0.0135569723117411	0.00305952954613759	0.00336717876262514	0.0010346718251949	0.00238311794782208
E	Content				Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
E	Sample							579	579	580	580	581	581
E	Cq				NaN	NaN	NaN	32.2327813571964	32.1944915628215	32.2441245596969	32.8270058933603	33.7458724191168	33.3596640167614
E					NaN	NaN	NaN	0.00230752945784251	0.00236977696101858	0.00228940477371222	0.00152666109990915	0.000805979720056489	0.00105420671406149
F	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
F	Sample	nc_plt	nc_plt	nc_plt				582	582	583	583	584	584
F	Cq	NaN	NaN	NaN	NaN	NaN	NaN	34.3920859541783	35.4735357986968	34.209529606081	35.2944677458991	35.2634482494327	33.9239556661432
F		NaN	NaN	NaN	NaN	NaN	NaN	0.000514308025764033	0.000242503840748636	0.00058390149933226	0.000274651354738759	0.00028063831297797	0.000712128417312156
G	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Neg Ctrl	Neg Ctrl	Unkn	Unkn
G	Sample	585	585	585						nc_plt	nc_plt		
G	Cq	NaN	36.7205822605739	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
G		NaN	0.000101910288180436	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
H	Content	Neg Ctrl	Neg Ctrl	Neg Ctrl	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn	Unkn
H	Sample	nc_mm	nc_mm	nc_mm				586		587		588	588
H	Cq	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
H		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
