	Well	Fluor	Target	Content	Sample	End RFU	Call	Sample Type	CallType	Is Control
	A01	FAM		Std	saltru_std1	13233.1573862267	(+) Positive	Standard	Positive	False
	A04	FAM		Unkn	567	5578.45321274737	(+) Positive	Unknown	Positive	False
	A05	FAM		Unkn	567	5155.54819331131	(+) Positive	Unknown	Positive	False
	A06	FAM		Unkn	567	5775.40882103149	(+) Positive	Unknown	Positive	False
	A07	FAM		Unkn	568	7322.39274417745	(+) Positive	Unknown	Positive	False
	A08	FAM		Unkn	568	7132.60545636533	(+) Positive	Unknown	Positive	False
	A09	FAM		Unkn	568	6054.07967685341	(+) Positive	Unknown	Positive	False
	A10	FAM		Unkn	589	7.84528510123491		Unknown	NoCall	False
	A11	FAM		Unkn	589	10.1286694858403		Unknown	NoCall	False
	A12	FAM		Unkn	589	9.56128132973508		Unknown	NoCall	False
	B01	FAM		Std	saltru_std2	12776.290941237	(+) Positive	Standard	Positive	False
	B03	FAM		Std	saltru_std2	14678.9352658285	(+) Positive	Standard	Positive	False
	B04	FAM		Unkn	570	7766.04724853369	(+) Positive	Unknown	Positive	False
	B05	FAM		Unkn	570	9477.74410540219	(+) Positive	Unknown	Positive	False
	B06	FAM		Unkn	570	7802.97405965247	(+) Positive	Unknown	Positive	False
	B07	FAM		Unkn	571	6906.67789897784	(+) Positive	Unknown	Positive	False
	B08	FAM		Unkn	571	8222.73100251301	(+) Positive	Unknown	Positive	False
	B09	FAM		Unkn	571	8586.69135412815	(+) Positive	Unknown	Positive	False
	B10	FAM		Unkn	590	2088.97498287936	(+) Positive	Unknown	Positive	False
	B11	FAM		Unkn	590	6.74474345650769		Unknown	NoCall	False
	B12	FAM		Unkn	590	5.51423957488769		Unknown	NoCall	False
	C02	FAM		Std	saltru_std3	10691.9168231169	(+) Positive	Standard	Positive	False
	C04	FAM		Unkn	573	10368.4746933091	(+) Positive	Unknown	Positive	False
	C05	FAM		Unkn	573	6408.00657547531	(+) Positive	Unknown	Positive	False
	C06	FAM		Unkn	573	7203.77422868692	(+) Positive	Unknown	Positive	False
	C07	FAM		Unkn	574	9683.27560823052	(+) Positive	Unknown	Positive	False
	C08	FAM		Unkn	574	8682.16646192397	(+) Positive	Unknown	Positive	False
	C09	FAM		Unkn	574	8255.99315848522	(+) Positive	Unknown	Positive	False
	C10	FAM		Unkn	592	8.90339391708221		Unknown	NoCall	False
	C11	FAM		Unkn	592	21.1537414585761		Unknown	NoCall	False
	C12	FAM		Unkn	592	7.56811980524244		Unknown	NoCall	False
	D03	FAM		Std	saltru_std4	11.9564872524166		Standard	NoCall	False
	D04	FAM		Unkn	576	10567.9266937105	(+) Positive	Unknown	Positive	False
	D05	FAM		Unkn	576	10959.9888939083	(+) Positive	Unknown	Positive	False
	D06	FAM		Unkn	576	11520.1827568304	(+) Positive	Unknown	Positive	False
