Row,Column,*Target Name,*Sample Name
A,1,NA,salsal_std0
A,2,NA,salsal_std0
A,3,NA,salsal_std0
A,4,NA,567
A,5,NA,567
A,6,NA,567
A,7,NA,568
A,8,NA,568
A,9,NA,568
A,10,NA,589
A,11,NA,589
A,12,NA,589
B,1,NA,salsal_std1
B,2,NA,salsal_std1
B,3,NA,salsal_std1
B,4,NA,570
B,5,NA,570
B,6,NA,570
B,7,NA,571
B,8,NA,571
B,9,NA,571
B,10,NA,590
B,11,NA,590
B,12,NA,590
C,1,NA,salsal_std2
C,2,NA,salsal_std2
C,3,NA,salsal_std2
C,4,NA,573
C,5,NA,573
C,6,NA,573
C,7,NA,574
C,8,NA,574
C,9,NA,574
C,10,NA,592
C,11,NA,592
C,12,NA,592
D,1,NA,salsal_std3
D,2,NA,salsal_std3
D,3,NA,salsal_std3
D,4,NA,576
D,5,NA,576
D,6,NA,576
D,7,NA,577
D,8,NA,577
D,9,NA,577
D,10,NA,593
D,11,NA,593
D,12,NA,593
E,1,NA,salsal_std4
E,2,NA,salsal_std4
E,3,NA,salsal_std4
E,4,NA,585
E,5,NA,585
E,6,NA,585
E,7,NA,nc_plt
E,8,NA,nc_plt
E,9,NA,nc_plt
E,10,NA,595
E,11,NA,595
E,12,NA,595
F,1,NA,salsal_std5
F,2,NA,salsal_std5
F,3,NA,salsal_std5
F,4,NA,579
F,5,NA,579
F,6,NA,579
F,7,NA,580
F,8,NA,580
F,9,NA,580
G,1,NA,nc_ext
G,2,NA,nc_ext
G,3,NA,nc_ext
G,4,NA,582
G,5,NA,582
G,6,NA,582
G,7,NA,583
G,8,NA,583
G,9,NA,583
H,1,NA,nc_mm
H,2,NA,nc_mm
H,3,NA,nc_mm
H,4,NA,586
H,5,NA,586
H,6,NA,586
H,7,NA,587
H,8,NA,587
H,9,NA,587
